FD.arg,FD.vd,value,se,x,z,,
0,1,-0.957550046,0.662046422,0,-0.596179291,mean,-0.647033007
0.020833333,1,-1.271985826,0.670996896,0.020833333,-0.910615071,sd,1.790487661
0.041666667,1,-1.561917021,0.719335538,0.041666667,-1.200546266,,
0.0625,1,-1.828000585,0.789858991,0.0625,-1.46662983,,
0.083333333,1,-2.070812859,0.869335116,0.083333333,-1.709442104,,
0.104166667,1,-2.290849433,0.949473697,0.104166667,-1.929478678,,
0.125,1,-2.488525021,1.025564807,0.125,-2.127154266,,
0.145833333,1,-2.664173514,1.095105956,0.145833333,-2.302802759,,
0.166666667,1,-2.818047998,1.156894368,0.166666667,-2.456677243,,
0.1875,1,-2.950320849,1.210483036,0.1875,-2.588950094,,
0.208333333,1,-3.061083807,1.255857505,0.208333333,-2.699713052,,
0.229166667,1,-3.150347918,1.293240956,0.229166667,-2.788977163,,
0.25,1,-3.218043533,1.322980757,0.25,-2.856672778,,
0.270833333,1,-3.263868454,1.345491252,0.270833333,-2.902497699,,
0.291666667,1,-3.286882237,1.361216943,0.291666667,-2.925511482,,
0.3125,1,-3.28604904,1.370619717,0.3125,-2.924678286,,
0.333333333,1,-3.260401952,1.374174169,0.333333333,-2.899031197,,
0.354166667,1,-3.209042991,1.372378778,0.354166667,-2.847672236,,
0.375,1,-3.131143112,1.365776246,0.375,-2.769772357,,
0.395833333,1,-3.025942206,1.354978011,0.395833333,-2.664571451,,
0.416666667,1,-2.892749104,1.340694526,0.416666667,-2.531378349,,
0.4375,1,-2.73094158,1.323779349,0.4375,-2.369570825,,
0.458333333,1,-2.539966348,1.305301969,0.458333333,-2.178595594,,
0.479166667,1,-2.31933907,1.286671559,0.479166667,-1.957968316,,
0.5,1,-2.068644351,1.269839368,0.5,-1.707273597,,
0.520833333,1,-1.787558832,1.257833734,0.520833333,-1.426188077,,
0.541666667,1,-1.475903188,1.25579984,0.541666667,-1.114532433,,
0.5625,1,-1.133542647,1.270247278,0.5625,-0.772171892,,
0.583333333,1,-0.760359574,1.308106022,0.583333333,-0.39898882,,
0.604166667,1,-0.356253471,1.375609312,0.604166667,0.005117284,,
0.625,1,0.078859036,1.477188115,0.625,0.440229791,,
0.645833333,1,0.545044196,1.614912532,0.645833333,0.90641495,,
0.666666667,1,1.042351139,1.788704178,0.666666667,1.403721893,,
0.6875,1,1.57081188,1.997061109,0.6875,1.932182635,,
0.708333333,1,2.130441322,2.237861571,0.708333333,2.491812077,,
0.729166667,1,2.721237258,2.508979856,0.729166667,3.082608013,,
0.75,1,3.343180373,2.808671191,0.75,3.704551128,,
0.770833333,1,3.996242852,3.135922367,0.770833333,4.357613606,,
0.791666667,1,4.680421692,3.490861917,0.791666667,5.041792447,,
0.8125,1,5.39572598,3.874112179,0.8125,5.757096735,,
0.833333333,1,6.142170151,4.286427056,0.833333333,6.503540906,,
0.854166667,1,6.919773992,4.728534855,0.854166667,7.281144746,,
0.875,1,7.728562635,5.201032061,0.875,8.08993339,,
0.895833333,1,8.568566565,5.704314481,0.895833333,8.929937319,,
0.916666667,1,9.439821608,6.238535609,0.916666667,9.801192363,,
0.9375,1,10.34236894,6.803584699,0.9375,10.70373969,,
0.958333333,1,11.27625507,7.39907895,0.958333333,11.63762583,,
0.979166667,1,12.24153188,8.024365745,0.979166667,12.60290263,,
1,1,13.23825656,8.678532018,1,13.59962731,,
0,2,-0.957550046,0.662046422,0,-0.596179291,,
0.020833333,2,-1.085758369,0.650704543,0.041666667,-0.724387614,,
0.041666667,2,-1.202103349,0.659257092,0.083333333,-0.840732595,,
0.0625,2,-1.30730238,0.683413207,0.125,-0.945931625,,
0.083333333,2,-1.402032512,0.718187218,0.166666667,-1.040661757,,
0.104166667,2,-1.48693046,0.758931567,0.208333333,-1.125559705,,
0.125,2,-1.562592591,0.801836062,0.25,-1.201221836,,
0.145833333,2,-1.629574922,0.84400613,0.291666667,-1.268204167,,
0.166666667,2,-1.688393112,0.883351824,0.333333333,-1.327022358,,
0.1875,2,-1.739522436,0.918439935,0.375,-1.378151682,,
0.208333333,2,-1.783397788,0.948373114,0.416666667,-1.422027033,,
0.229166667,2,-1.820413688,0.972713478,0.458333333,-1.459042933,,
0.25,2,-1.85092429,0.9914515,0.5,-1.489553535,,
0.270833333,2,-1.875051004,1.005110623,0.541666667,-1.513680249,,
0.291666667,2,-1.892130307,1.014901729,0.583333333,-1.530759552,,
0.3125,2,-1.901334513,1.022097809,0.625,-1.539963758,,
0.333333333,2,-1.90187039,1.027771251,0.666666667,-1.540499635,,
0.354166667,2,-1.892979179,1.032706408,0.708333333,-1.531608425,,
0.375,2,-1.873936583,1.037355704,0.75,-1.512565829,,
0.395833333,2,-1.844052762,1.041835242,0.791666667,-1.482682007,,
0.416666667,2,-1.802672334,1.045956973,0.833333333,-1.441301579,,
0.4375,2,-1.749174375,1.049293632,0.875,-1.38780362,,
0.458333333,2,-1.682972424,1.051272601,0.916666667,-1.321601669,,
0.479166667,2,-1.603514479,1.051296918,0.958333333,-1.242143724,,
0.5,2,-1.510282999,1.048896452,1,-1.148912244,,
