FL.arg,ab_flw,FL.vd,value,se,x
0,0,10,2.6583651,0.650308625,0
0.020833333,0.208333333,10,0.713673951,0.316344811,0.205
0.041666667,0.416666667,10,-1.334856137,0.666626751,0.41
0.0625,0.625,10,-1.093559502,0.343652811,0.615
0.083333333,0.833333333,10,-1.376502281,0.529663437,0.82
0.104166667,1.041666667,10,-0.69632374,0.314486478,1.025
0.125,1.25,10,1.874174385,0.403013929,1.23
0.145833333,1.458333333,10,1.54030602,0.371231734,1.435
0.166666667,1.666666667,10,-1.458850282,0.422257184,1.64
0.1875,1.875,10,-1.495589932,0.478054611,1.845
0.208333333,2.083333333,10,1.544143302,0.465143885,2.05
0.229166667,2.291666667,10,2.24938473,0.736522726,2.255
0.25,2.5,10,-0.115928136,0.478451137,2.46
0.270833333,2.708333333,10,-1.149419598,0.61007596,2.665
0.291666667,2.916666667,10,0.14906508,0.538250541,2.87
0.3125,3.125,10,0.136667696,0.593607033,3.075
0.333333333,3.333333333,10,-2.584637629,0.90508259,3.28
0.354166667,3.541666667,10,-5.242755879,1.461790259,3.485
0.375,3.75,10,-5.703529951,2.115534435,3.69
0.395833333,3.958333333,10,-4.868280657,2.524471273,3.895
0.416666667,4.166666667,10,-4.158530537,2.634763911,4.1
0.4375,4.375,10,-3.341329223,2.561805602,4.305
0.458333333,4.583333333,10,-1.421558978,2.37050271,4.51
0.479166667,4.791666667,10,1.354271803,2.354686062,4.715
0.5,5,10,3.438034321,2.53569816,4.92
0.520833333,5.208333333,10,3.828858923,2.519796034,5.125
0.541666667,5.416666667,10,3.137691042,2.506315272,5.33
0.5625,5.625,10,2.716863016,2.873488929,5.535
0.583333333,5.833333333,10,3.177394905,3.392101439,5.74
0.604166667,6.041666667,10,3.968905151,3.624033636,5.945
0.625,6.25,10,4.222639077,3.341702734,6.15
0.645833333,6.458333333,10,3.677062136,2.67819592,6.355
0.666666667,6.666666667,10,2.760265536,2.080152412,6.56
0.6875,6.875,10,1.934765076,1.75881735,6.765
0.708333333,7.083333333,10,1.172083017,1.813216137,6.97
0.729166667,7.291666667,10,0.075423545,2.240556536,7.175
0.75,7.5,10,-1.528659512,2.621510446,7.38
0.770833333,7.708333333,10,-3.215075822,2.553967953,7.585
0.791666667,7.916666667,10,-4.206947591,2.116732489,7.79
0.8125,8.125,10,-3.95086218,2.09710503,7.995
0.833333333,8.333333333,10,-2.45704746,2.860499407,8.2
0.854166667,8.541666667,10,-0.232516845,3.652658474,8.405
0.875,8.75,10,2.102240968,4.08424265,8.61
0.895833333,8.958333333,10,4.143682377,4.426879821,8.815
0.916666667,9.166666667,10,5.602524394,5.13521704,9.02
0.9375,9.375,10,6.317168167,6.453904629,9.225
0.958333333,9.583333333,10,6.326861265,8.314097894,9.43
0.979166667,9.791666667,10,5.833725026,10.48694115,9.635
1,10,10,5.091628224,12.74845129,9.84
0,0,20,2.6583651,0.650308625,0
0.020833333,0.416666667,20,0.76489682,0.311810214,0.415833333
0.041666667,0.833333333,20,-1.235000063,0.664167366,0.831666667
0.0625,1.25,20,-0.903127958,0.36348951,1.2475
0.083333333,1.666666667,20,-1.103398802,0.540218823,1.663333333
0.104166667,2.083333333,20,-0.426810358,0.283457981,2.079166667
0.125,2.5,20,2.198828072,0.448303634,2.495
0.145833333,2.916666667,20,1.767740944,0.426944581,2.910833333
0.166666667,3.333333333,20,-1.829108487,0.498965206,3.326666667
0.1875,3.75,20,-2.525300884,0.710157698,3.7425
0.208333333,4.166666667,20,0.419635449,0.465751546,4.158333333
0.229166667,4.583333333,20,1.254712653,0.589675415,4.574166667
0.25,5,20,-0.976597358,0.468418221,4.99
0.270833333,5.416666667,20,-1.237871564,0.715091105,5.405833333
0.291666667,5.833333333,20,1.724422491,0.431361738,5.821666667
0.3125,6.25,20,3.051638622,0.636120686,6.2375
0.333333333,6.666666667,20,0.285535232,0.887689901,6.653333333
