banner.arg,banner.vd,value,se,x
0,10,0.246233662,0.385325916,0
0.020833333,10,0.076968063,0.209976112,0.205
0.041666667,10,-0.148286335,0.153142874,0.41
0.0625,10,-0.319597499,0.225795104,0.615
0.083333333,10,-0.420722483,0.248747159,0.82
0.104166667,10,-0.453950856,0.204061176,1.025
0.125,10,-0.436934661,0.180387058,1.23
0.145833333,10,-0.422181886,0.199456541,1.435
0.166666667,10,-0.397148346,0.224118879,1.64
0.1875,10,-0.330742623,0.252981598,1.845
0.208333333,10,-0.226314517,0.270828343,2.05
0.229166667,10,-0.102384604,0.278513699,2.255
0.25,10,0.022880764,0.283548074,2.46
0.270833333,10,0.125484413,0.29810414,2.665
0.291666667,10,0.169270747,0.33277993,2.87
0.3125,10,0.132922047,0.375247773,3.075
0.333333333,10,0.033898753,0.397724315,3.28
0.354166667,10,-0.095262253,0.400237398,3.485
0.375,10,-0.238738315,0.390978837,3.69
0.395833333,10,-0.394100882,0.391058994,3.895
0.416666667,10,-0.555226595,0.418120901,4.1
0.4375,10,-0.704735668,0.472743054,4.305
0.458333333,10,-0.821247909,0.533747377,4.51
0.479166667,10,-0.891427206,0.583443273,4.715
0.5,10,-0.915091648,0.618696642,4.92
0.520833333,10,-0.898775124,0.632708417,5.125
0.541666667,10,-0.851617129,0.629968502,5.33
0.5625,10,-0.781514284,0.620693468,5.535
0.583333333,10,-0.69287422,0.608373027,5.74
0.604166667,10,-0.588245808,0.599237188,5.945
0.625,10,-0.471652683,0.596618396,6.15
0.645833333,10,-0.35038428,0.597886334,6.355
0.666666667,10,-0.233380155,0.612772288,6.56
0.6875,10,-0.128538115,0.645314284,6.765
0.708333333,10,-0.040470359,0.691907809,6.97
0.729166667,10,0.030752956,0.753074899,7.175
0.75,10,0.08940284,0.830009461,7.38
0.770833333,10,0.142376265,0.915655401,7.585
0.791666667,10,0.196470604,1.005903171,7.79
0.8125,10,0.256178405,1.106183271,7.995
0.833333333,10,0.323377617,1.216987273,8.2
0.854166667,10,0.397361477,1.328632016,8.405
0.875,10,0.475253175,1.435705353,8.61
0.895833333,10,0.553430628,1.547017436,8.815
0.916666667,10,0.628557044,1.671450751,9.02
0.9375,10,0.698185788,1.812282654,9.225
0.958333333,10,0.761229323,1.969156339,9.43
0.979166667,10,0.817982708,2.138614001,9.635
1,10,0.869589185,2.314933016,9.84
0,20,0.246233662,0.385325916,0
0.020833333,20,0.096638623,0.212494142,0.415833333
0.041666667,20,-0.105564654,0.149288945,0.831666667
0.0625,20,-0.250092,0.216251519,1.2475
0.083333333,20,-0.320790685,0.238680061,1.663333333
0.104166667,20,-0.322749206,0.199707666,2.079166667
0.125,20,-0.278412306,0.187941797,2.495
0.145833333,20,-0.244759135,0.201523488,2.910833333
0.166666667,20,-0.215241759,0.215944548,3.326666667
0.1875,20,-0.160994065,0.244484567,3.7425
0.208333333,20,-0.079450549,0.265429855,4.158333333
0.229166667,20,0.019007266,0.275480019,4.574166667
0.25,20,0.129181136,0.270108544,4.99
0.270833333,20,0.235764653,0.26831628,5.405833333
0.291666667,20,0.295075453,0.296663865,5.821666667
0.3125,20,0.267652507,0.339780001,6.2375
0.333333333,20,0.156541634,0.36442792,6.653333333
0.354166667,20,-0.002936216,0.367279882,7.069166667
0.375,20,-0.180355384,0.360946948,7.485
0.395833333,20,-0.362303449,0.379719787,7.900833333
0.416666667,20,-0.536588287,0.427632033,8.316666667
0.4375,20,-0.688439937,0.495050838,8.7325
0.458333333,20,-0.807257042,0.5698774,9.148333333
0.479166667,20,-0.888912533,0.636773937,9.564166667
0.5,20,-0.935938042,0.691676616,9.98
0.520833333,20,-0.951486775,0.72908005,10.39583333
0.541666667,20,-0.936379782,0.747509574,10.81166667
0.5625,20,-0.890244058,0.747417334,11.2275
0.583333333,20,-0.814606952,0.732314573,11.64333333
0.604166667,20,-0.715873392,0.709492849,12.05916667
0.625,20,-0.605271068,0.685099004,12.475
0.645833333,20,-0.49489296,0.661917461,12.89083333
0.666666667,20,-0.392349331,0.644208988,13.30666667
0.6875,20,-0.298181038,0.635320727,13.7225
0.708333333,20,-0.207926342,0.63797189,14.13833333
0.729166667,20,-0.11689788,0.658390032,14.55416667
0.75,20,-0.023862383,0.698360563,14.97
0.770833333,20,0.068938193,0.750152583,15.38583333
0.791666667,20,0.158902352,0.806842963,15.80166667
0.8125,20,0.246331395,0.866157627,16.2175
0.833333333,20,0.334752693,0.928467685,16.63333333
0.854166667,20,0.427668717,1.002948617,17.04916667
0.875,20,0.525398046,1.097240613,17.465
0.895833333,20,0.624807658,1.215201967,17.88083333
0.916666667,20,0.720490094,1.354603031,18.29666667
0.9375,20,0.807116334,1.512302041,18.7125
0.958333333,20,0.881966134,1.689113009,19.12833333
0.979166667,20,0.946225359,1.883770149,19.54416667
1,20,1.003959622,2.085548075,19.96
0,30,0.246233662,0.385325916,0
0.020833333,30,0.103007566,0.213305919,0.626666667
0.041666667,30,-0.091494006,0.147933581,1.253333333
0.0625,30,-0.227256993,0.213207376,1.88
0.083333333,30,-0.288161754,0.235989461,2.506666667
0.104166667,30,-0.280356935,0.200913114,3.133333333
0.125,30,-0.228072398,0.194048628,3.76
0.145833333,30,-0.188397589,0.205765085,4.386666667
0.166666667,30,-0.156569748,0.216142594,5.013333333
0.1875,30,-0.10518143,0.242879321,5.64
0.208333333,30,-0.030190576,0.265415451,6.266666667
0.229166667,30,0.060792633,0.277898142,6.893333333
0.25,30,0.165392805,0.271612466,7.52
0.270833333,30,0.269897399,0.266099708,8.146666667
0.291666667,30,0.330358945,0.293162212,8.773333333
0.3125,30,0.304482379,0.336395846,9.4
0.333333333,30,0.191673168,0.3621571,10.02666667
0.354166667,30,0.026143399,0.367670339,10.65333333
0.375,30,-0.159166437,0.36857091,11.28
0.395833333,30,-0.347226609,0.396132411,11.90666667
0.416666667,30,-0.52409665,0.450214156,12.53333333
0.4375,30,-0.675678299,0.519691711,13.16
0.458333333,30,-0.794621348,0.596534863,13.78666667
0.479166667,30,-0.879027514,0.666882097,14.41333333
0.5,30,-0.932091826,0.72695738,15.04
0.520833333,30,-0.956024499,0.77126337,15.66666667
0.541666667,30,-0.949758289,0.796548142,16.29333333
0.5625,30,-0.91114519,0.800865198,16.92
0.583333333,30,-0.841033184,0.787660226,17.54666667
0.604166667,30,-0.746399692,0.764489428,18.17333333
0.625,30,-0.639571514,0.737742357,18.8
0.645833333,30,-0.53325783,0.711520552,19.42666667
0.666666667,30,-0.434630516,0.68986617,20.05333333
0.6875,30,-0.342862154,0.674183496,20.68
0.708333333,30,-0.251923539,0.665940436,21.30666667
0.729166667,30,-0.156309477,0.672239432,21.93333333
