banner.arg,abs,banner.vd,value,se,x
0,0,10,1.741202333,0.820819898,0
0.020833333,0.208333333,10,0.660822561,0.389110677,0.205
0.041666667,0.416666667,10,-0.788684786,0.525471886,0.41
0.0625,0.625,10,-1.837877287,0.575935792,0.615
0.083333333,0.833333333,10,-1.914897239,0.668187938,0.82
0.104166667,1.041666667,10,-0.323121333,0.349985112,1.025
0.125,1.25,10,1.213807377,0.493948821,1.23
0.145833333,1.458333333,10,0.475156025,0.444017006,1.435
0.166666667,1.666666667,10,-0.892782026,0.528407635,1.64
0.1875,1.875,10,-0.492946521,0.413535926,1.845
0.208333333,2.083333333,10,0.626866666,0.849626074,2.05
0.229166667,2.291666667,10,0.415545506,0.812435435,2.255
0.25,2.5,10,-0.208387456,0.749457903,2.46
0.270833333,2.708333333,10,0.254433266,0.687798003,2.665
0.291666667,2.916666667,10,0.443420375,0.653702457,2.87
0.3125,3.125,10,-1.612471816,1.010716946,3.075
0.333333333,3.333333333,10,-4.845637044,1.960055035,3.28
0.354166667,3.541666667,10,-6.48278068,2.489390164,3.485
0.375,3.75,10,-5.784838956,2.24057214,3.69
0.395833333,3.958333333,10,-4.235524997,2.086694428,3.895
0.416666667,4.166666667,10,-3.14763946,2.084541947,4.1
0.4375,4.375,10,-2.377472338,2.059333007,4.305
0.458333333,4.583333333,10,-1.208174722,2.016610447,4.51
0.479166667,4.791666667,10,0.332843399,2.239839423,4.715
0.5,5,10,1.479531593,2.581627352,4.92
0.520833333,5.208333333,10,1.805423093,2.442564366,5.125
0.541666667,5.416666667,10,1.694525321,2.126362673,5.33
0.5625,5.625,10,1.809542787,2.151765609,5.535
0.583333333,5.833333333,10,2.380043188,2.393594833,5.74
0.604166667,6.041666667,10,3.079803871,2.690305094,5.945
0.625,6.25,10,3.467959184,2.742417668,6.15
0.645833333,6.458333333,10,3.380069471,2.356921267,6.355
0.666666667,6.666666667,10,2.920701377,1.834452668,6.56
0.6875,6.875,10,2.220644969,1.511898324,6.765
0.708333333,7.083333333,10,1.268378366,1.533260354,6.97
0.729166667,7.291666667,10,0.015248976,1.875617558,7.175
0.75,7.5,10,-1.383998169,2.28577649,7.38
0.770833333,7.708333333,10,-2.50019588,2.504363118,7.585
0.791666667,7.916666667,10,-2.849897395,2.560796439,7.79
0.8125,8.125,10,-2.202823391,2.784386493,7.995
0.833333333,8.333333333,10,-0.691572654,3.340330672,8.2
0.854166667,8.541666667,10,1.298529683,3.975380823,8.405
0.875,8.75,10,3.364175556,4.45148133,8.61
0.895833333,8.958333333,10,5.259947931,4.852909141,8.815
0.916666667,9.166666667,10,6.834181364,5.365002472,9.02
0.9375,9.375,10,8.013402106,6.139690191,9.225
0.958333333,9.583333333,10,8.821384941,7.250209742,9.43
0.979166667,9.791666667,10,9.353954684,8.645037455,9.635
