FD.arg,absflwno,FD.vd,value,se,x
0,0,10,2.350570442,1.891658932,0
0.020833333,0.208333333,10,0.614137359,0.823814828,0.214166667
0.041666667,0.416666667,10,1.012556999,1.969599756,0.428333333
0.0625,0.625,10,-0.664366358,1.009044817,0.6425
0.083333333,0.833333333,10,-8.156393284,1.71477011,0.856666667
0.104166667,1.041666667,10,-3.556807416,0.827332683,1.070833333
0.125,1.25,10,9.67737359,1.198826946,1.285
0.145833333,1.458333333,10,5.008971975,0.992682827,1.499166667
0.166666667,1.666666667,10,-9.323856716,1.100583158,1.713333333
0.1875,1.875,10,-5.858343214,1.283546328,1.9275
0.208333333,2.083333333,10,9.310223665,1.241982543,2.141666667
0.229166667,2.291666667,10,9.421714985,1.848249252,2.355833333
0.25,2.5,10,-3.51040804,1.535402663,2.57
0.270833333,2.708333333,10,-6.502297136,1.540706843,2.784166667
0.291666667,2.916666667,10,1.784447464,1.41775617,2.998333333
0.3125,3.125,10,1.725739503,1.658177256,3.2125
0.333333333,3.333333333,10,-11.75127666,2.847842504,3.426666667
0.354166667,3.541666667,10,-23.10594495,4.743428365,3.640833333
0.375,3.75,10,-23.23801358,6.498378048,3.855
0.395833333,3.958333333,10,-19.06552535,7.815010031,4.069166667
0.416666667,4.166666667,10,-17.29757734,9.103809795,4.283333333
0.4375,4.375,10,-14.17352711,10.1626332,4.4975
0.458333333,4.583333333,10,-3.366720295,10.34132168,4.711666667
0.479166667,4.791666667,10,12.18915616,10.52354444,4.925833333
0.5,5,10,21.86309086,11.0740705,5.14
0.520833333,5.208333333,10,19.56610899,10.72844419,5.354166667
0.541666667,5.416666667,10,11.03847705,10.60088154,5.568333333
0.5625,5.625,10,7.031812752,12.64491777,5.7825
0.583333333,5.833333333,10,11.7833161,15.42460483,5.996666667
0.604166667,6.041666667,10,19.71939255,16.64275519,6.210833333
0.625,6.25,10,22.37069629,15.44439151,6.425
0.645833333,6.458333333,10,16.76033267,12.74074216,6.639166667
0.666666667,6.666666667,10,7.23664803,10.49048936,6.853333333
0.6875,6.875,10,-0.520169662,8.979021586,7.0675
0.708333333,7.083333333,10,-4.447815041,8.709155221,7.281666667
0.729166667,7.291666667,10,-6.710115278,10.56988388,7.495833333
0.75,7.5,10,-10.10644736,12.48894631,7.71
0.770833333,7.708333333,10,-14.50622148,12.05528839,7.924166667
0.791666667,7.916666667,10,-16.77398934,9.46809322,8.138333333
0.8125,8.125,10,-13.63118009,9.013640438,8.3525
0.833333333,8.333333333,10,-4.480097143,12.99067871,8.566666667
0.854166667,8.541666667,10,8.225386219,16.98051773,8.780833333
0.875,8.75,10,20.89218924,18.8459707,8.995
0.895833333,8.958333333,10,30.5822972,19.80183642,9.209166667
0.916666667,9.166666667,10,35.22195017,22.55549708,9.423333333
0.9375,9.375,10,33.96830339,29.00926717,9.6375
0.958333333,9.583333333,10,27.53482187,38.78796246,9.851666667
0.979166667,9.791666667,10,17.78043039,50.36648573,10.06583333
1,10,10,6.802582363,62.36504086,10.28
0,0,20,2.350570442,1.891658932,0
0.020833333,0.416666667,20,0.7397583,0.818648596,0.415833333
0.041666667,0.833333333,20,1.302002472,1.970559928,0.831666667
0.0625,1.25,20,-0.051832458,1.050032627,1.2475
