FD.1.arg,FD.1.vd,value,se,x,z,,,,
0,1,-1.169594583,0.459429913,0,1.560713062,,avg,-2.304542119,2.304542119
0.111111111,1,-1.553717411,0.675525899,0.111111111,1.032489898,,sd,0.727197634,
0.222222222,1,-1.830788524,0.873714204,0.222222222,0.651477969,,,,
0.333333333,1,-2.000763927,0.907698148,0.333333333,0.417737773,,,,
0.444444444,1,-2.063635382,0.948405047,0.444444444,0.331280639,,,,
0.555555556,1,-2.01940753,1.348945945,0.555555556,0.392100185,,,,
0.666666667,1,-1.868069909,2.232033513,0.666666667,0.600210797,,,,
0.777777778,1,-1.609599106,3.514576787,0.777777778,0.955644672,,,,
0.888888889,1,-1.243974924,5.144437703,0.888888889,1.458429583,,,,
1,1,-0.771189856,7.101073155,1,2.108575854,,,,
0,2,-1.169594583,0.459429913,0,1.560713062,,,,
0.111111111,2,-1.519585429,0.538697975,0.222222222,1.079426196,,,,
0.222222222,2,-1.816031782,0.642886891,0.444444444,0.671770574,,,,
0.333333333,2,-2.058932578,0.69978716,0.666666667,0.337747659,,,,
0.444444444,2,-2.248272686,0.755777196,0.888888889,0.077378257,,,,
0.555555556,2,-2.384057503,0.922871669,1.111111111,-0.109345052,,,,
0.666666667,2,-2.466294041,1.291184723,1.333333333,-0.222431911,,,,
0.777777778,2,-2.494981147,1.869649923,1.555555556,-0.261880735,,,,
0.888888889,2,-2.470113241,2.63757604,1.777777778,-0.227683851,,,,
1,2,-2.391682258,3.579516788,2,-0.119830167,,,,
0,3,-1.169594583,0.459429913,0,1.560713062,,,,
0.111111111,3,-1.508214101,0.513182584,0.333333333,1.095063379,,,,
0.222222222,3,-1.811129909,0.600238176,0.666666667,0.678511342,,,,
0.333333333,3,-2.078348121,0.674816195,1,0.311048544,,,,
0.444444444,3,-2.309861938,0.75210051,1.333333333,-0.007315666,,,,
0.555555556,3,-2.505668605,0.878263803,1.666666667,-0.2765775,,,,
0.666666667,3,-2.665774135,1.102642521,2,-0.496745226,,,,
0.777777778,3,-2.790181228,1.451072486,2.333333333,-0.667822557,,,,
0.888888889,3,-2.878889134,1.926208506,2.666666667,-0.789808462,,,,
1,3,-2.931894154,2.522436999,3,-0.862697854,,,,
0,4,-1.169594583,0.459429913,0,1.560713062,,,,
0.111111111,4,-1.502529117,0.505265607,0.444444444,1.102881035,,,,
0.222222222,4,-1.808684178,0.587990563,0.888888889,0.681874568,,,,
0.333333333,4,-2.088063225,0.672879455,1.333333333,0.297688903,,,,
0.444444444,4,-2.340666481,0.763243869,1.777777778,-0.049676266,,,,
0.555555556,4,-2.566489238,0.881365453,2.222222222,-0.360214464,,,,
0.666666667,4,-2.765533771,1.054920512,2.666666667,-0.633928821,,,,
0.777777778,4,-2.937803674,1.30519275,3.111111111,-0.870824279,,,,
