B.1.arg,B.1.vd,value,se,x,z,,,
0,1.83,-0.629959235,0.876928548,0,1.096673641,,avg,-9.741500311
0.111111111,1.83,1.392266269,1.564647528,0.203333333,1.34007061,,sd,8.308342848
0.222222222,1.83,2.836345594,2.230713953,0.406666667,1.513881359,,,
0.333333333,1.83,3.702268832,2.724642551,0.61,1.618104697,,,
0.444444444,1.83,3.990037247,3.08264414,0.813333333,1.652740775,,,
0.555555556,1.83,3.699648515,3.400770209,1.016666667,1.617789313,,,
0.666666667,1.83,2.831100166,3.821490242,1.22,1.513250015,,,
0.777777778,1.83,1.384392189,4.50011011,1.423333333,1.339122878,,,
0.888888889,1.83,-0.640474169,5.547933621,1.626666667,1.095408053,,,
1,1.83,-3.24349747,7.007318548,1.83,0.782105714,,,
0,1.8859,-0.629959235,0.876928548,0,1.096673641,,,
0.111111111,1.8859,1.209068523,1.504341586,0.209544444,1.318020756,,,
0.222222222,1.8859,2.487087209,2.106660014,0.419088889,1.471844291,,,
0.333333333,1.8859,3.204086991,2.54333005,0.628633333,1.558143061,,,
0.444444444,1.8859,3.360068945,2.851806598,0.838177778,1.576917196,,,
0.555555556,1.8859,2.955031084,3.132401634,1.047722222,1.528166457,,,
0.666666667,1.8859,1.988970921,3.534124253,1.257266667,1.411890544,,,
0.777777778,1.8859,0.461888324,4.213545168,1.466811111,1.228089443,,,
0.888888889,1.8859,-1.626215583,5.271934123,1.676355556,0.976763287,,,
1,1.8859,-4.275339395,6.737986994,1.8859,0.657912246,,,
0,1.9418,-0.629959235,0.876928548,0,1.096673641,,,
0.111111111,1.9418,1.036418472,1.448581799,0.215755556,1.297240433,,,
0.222222222,1.9418,2.157937519,1.991642347,0.431511111,1.432227523,,,
0.333333333,1.9418,2.734588196,2.375276157,0.647266667,1.501633743,,,
0.444444444,1.9418,2.766371348,2.638535609,0.863022222,1.505459193,,,
0.555555556,1.9418,2.253285318,2.886637479,1.078777778,1.443703674,,,
0.666666667,1.9418,1.195327618,3.275569913,1.294533333,1.316366888,,,
0.777777778,1.9418,-0.407501994,3.96175675,1.510288889,1.123448804,,,
0.888888889,1.9418,-2.555202509,5.034205737,1.726044444,0.864949544,,,
1,1.9418,-5.247772562,6.507937914,1.9418,0.540869273,,,
0,1.9977,-0.629959235,0.876928548,0,1.096673641,,,
0.111111111,1.9977,0.873430672,1.397013671,0.221966667,1.277623068,,,
0.222222222,1.9977,1.84720847,1.885057221,0.443933333,1.394827882,,,
0.333333333,1.9977,2.291364602,2.219709376,0.6659,1.448286933,,,
0.444444444,1.9977,2.205899654,2.442007669,0.887866667,1.438000291,,,
0.555555556,1.9977,1.59081229,2.662765091,1.109833333,1.363967796,,,
0.666666667,1.9977,0.446100032,3.045199446,1.3318,1.226189149,,,
0.777777778,1.9977,-1.228237462,3.743631592,1.553766667,1.024664309,,,
0.888888889,1.9977,-3.432199291,4.832664175,1.775733333,0.759393384,,,
1,1.9977,-6.165784131,6.314258757,1.9977,0.430376535,,,
0,2.0536,-0.629959235,0.876928548,0,1.096673641,,,
0.111111111,2.0536,0.719316091,1.34931977,0.228177778,1.259073691,,,
0.222222222,2.0536,1.553395805,1.786377308,0.456355556,1.359464313,,,
0.333333333,2.0536,1.872270534,2.075985603,0.684533333,1.397844376,,,
0.444444444,2.0536,1.675940588,2.261596093,0.912711111,1.374213918,,,
0.555555556,2.0536,0.964404931,2.460340763,1.140888889,1.288572815,,,
0.666666667,2.0536,-0.262338891,2.842611689,1.369066667,1.140920772,,,
0.777777778,2.0536,-2.004291309,3.558096045,1.597244444,0.931257736,,,
0.888888889,2.0536,-4.261451522,4.665199214,1.825422222,0.659583804,,,
1,2.0536,-7.033818252,6.154104963,2.0536,0.325899129,,,
0,2.1095,-0.629959235,0.876928548,0,1.096673641,,,
0.111111111,2.1095,0.573369328,1.30521457,0.234388889,1.241507401,,,
0.222222222,2.1095,1.275154713,1.695141212,0.468777778,1.325974952,,,
0.333333333,2.1095,1.475387752,1.94357454,0.703166667,1.35007519,,,
0.444444444,2.1095,1.174068472,2.096856766,0.937555556,1.313808117,,,
0.555555556,2.1095,0.371196111,2.279160939,1.171944444,1.217173642,,,
0.666666667,2.1095,-0.933231747,2.667542986,1.406333333,1.060171475,,,
0.777777778,2.1095,-2.739215611,3.404006461,1.640722222,0.842801554,,,
0.888888889,2.1095,-5.046754777,4.529622658,1.875111111,0.565063963,,,
1,2.1095,-7.85584801,6.024684204,2.1095,0.226958852,,,
0,2.1654,-0.629959235,0.876928548,0,1.096673641,,,
0.111111111,2.1654,0.434957827,1.264440089,0.2406,1.224848063,,,
0.222222222,2.1654,1.01127925,1.61094422,0.4812,1.294214653,,,
0.333333333,2.1654,1.098996098,1.822047102,0.7218,1.304772335,,,
0.444444444,2.1654,0.698108105,1.947512507,0.9624,1.256521078,,,
0.555555556,2.1654,-0.191385239,2.119219608,1.203,1.14946082,,,
0.666666667,2.1654,-1.5694863,2.519754115,1.4436,0.983591277,,,
0.777777778,2.1654,-3.436195658,3.280049499,1.6842,0.758912378,,,
0.888888889,2.1654,-5.791512697,4.423641843,1.9248,0.475424197,,,
1,2.1654,-8.635436228,5.923256436,2.1654,0.133126879,,,
0,2.2213,-0.629959235,0.876928548,0,1.096673641,,,
0.111111111,2.2213,0.3035127,1.226762207,0.246811111,1.209027203,,,
0.222222222,2.2213,0.760684864,1.533429972,0.493622222,1.264052876,,,
0.333333333,2.2213,0.741548563,1.711062861,0.740433333,1.261749613,,,
0.444444444,2.2213,0.246103244,1.813432646,0.987244444,1.202117347,,,
0.555555556,2.2213,-0.725651382,1.980643575,1.234055556,1.085156044,,,
0.666666667,2.2213,-2.173717615,2.398897065,1.480866667,0.910865426,,,
0.777777778,2.2213,-4.098096101,3.184666573,1.727677778,0.679245416,,,
0.888888889,2.2213,-6.498786306,4.344859929,1.974488889,0.390296079,,,
1,2.2213,-9.375787088,5.847146123,2.2213,0.044017551,,,
0,2.2772,-0.629959235,0.876928548,0,1.096673641,,,
0.111111111,2.2772,0.178520925,1.191967532,0.253022222,1.193983075,,,
0.222222222,2.2772,0.522393497,1.462282815,0.506044444,1.235371902,,,
0.333333333,2.2772,0.401650045,1.610356536,0.759066667,1.220839107,,,
0.444444444,2.2772,-0.183710267,1.69460371,1.012088889,1.150384587,,,
0.555555556,2.2772,-1.233687533,1.86359885,1.265111111,1.024008333,,,
0.666666667,2.2772,-2.74828398,2.304376043,1.518133333,0.841710076,,,
0.777777778,2.2772,-4.727500309,3.11601603,1.771155556,0.603489732,,,
0.888888889,2.2772,-7.171336065,4.290800501,2.024177778,0.309347355,,,
1,2.2772,-10.07979015,5.793762301,2.2772,-0.040716922,,,
0,2.3331,-0.629959235,0.876928548,0,1.096673641,,,
0.111111111,2.3331,0.059518642,1.159860741,0.259233333,1.179659848,,,
0.222222222,2.3331,0.295520824,1.397220652,0.518466667,1.208065293,,,
0.333333333,2.3331,0.078039144,1.519722584,0.7777,1.181888993,,,
0.444444444,2.3331,-0.592927512,1.591087018,1.036933333,1.101130814,,,
0.555555556,2.3331,-1.71737907,1.768167417,1.296166667,0.965790764,,,
0.666666667,2.3331,-3.295317671,2.235227772,1.5554,0.775868585,,,
0.777777778,2.3331,-5.326744067,3.071980914,1.814633333,0.531364188,,,
0.888888889,2.3331,-7.811657875,4.258950454,2.073866667,0.232277618,,,
1,2.3331,-10.75005805,5.760622078,2.3331,-0.121390998,,,
0,2.389,-0.629959235,0.876928548,0,1.096673641,,,
0.111111111,2.389,-0.053914592,1.130262319,0.265444444,1.166006917,,,
0.222222222,2.389,0.07926529,1.337988156,0.530888889,1.182036573,,,
0.333333333,2.389,-0.230427479,1.438997062,0.796333333,1.14476166,,,
0.444444444,2.389,-0.982994281,1.502960173,1.061777778,1.054182009,,,
0.555555556,2.389,-2.178434904,1.694205223,1.327222222,0.910297648,,,
0.666666667,2.389,-3.816751391,2.190050685,1.592666667,0.713108331,,,
0.777777778,2.389,-5.897944539,3.050220701,1.858111111,0.462613961,,,
0.888888889,2.389,-8.422014035,4.246812893,2.123555556,0.158814575,,,
1,2.389,-11.38895887,5.74537367,2.389,-0.198289704,,,
0,2.4449,-0.629959235,0.876928548,0,1.096673641,,,
0.111111111,2.4449,-0.162160767,1.103006637,0.271655556,1.152978305,,,
0.222222222,2.4449,-0.127101352,1.284350304,0.543311111,1.15719809,,,
0.333333333,2.4449,-0.524788596,1.368036348,0.814966667,1.109332078,,,
0.444444444,2.4449,-1.35522414,1.430242938,1.086622222,1.009380073,,,
0.555555556,2.4449,-2.618407657,1.641207056,1.358277778,0.857342113,,,
0.666666667,2.4449,-4.314341085,2.167005266,1.629933333,0.653217966,,,
0.777777778,2.4449,-6.443025263,3.048255578,1.901588889,0.397007531,,,
0.888888889,2.4449,-9.00445994,4.251961458,2.173244444,0.088710837,,,
1,2.4449,-11.99864416,5.745816018,2.4449,-0.271672,,,
0,2.5008,-0.629959235,0.876928548,0,1.096673641,,,
0.111111111,2.5008,-0.26556772,1.077940313,0.277866667,1.140532147,,,
0.222222222,2.5008,-0.324242237,1.236086231,0.555733333,1.133470027,,,
0.333333333,2.5008,-0.805990102,1.30669296,0.8336,1.075486399,,,
0.444444444,2.5008,-1.710813205,1.372813933,1.111466667,0.966581037,,,
0.555555556,2.5008,-3.03871113,1.608214261,1.389333333,0.806753991,,,
0.666666667,2.5008,-4.7896857,2.163888857,1.6672,0.59600504,,,
0.777777778,2.5008,-6.96373779,3.063565731,1.945066667,0.33433408,,,
0.888888889,2.5008,-9.560867211,4.272088848,2.222933333,0.021741133,,,
1,2.5008,-12.58107304,5.759913144,2.5008,-0.34177369,,,
0,2.5567,-0.629959235,0.876928548,0,1.096673641,,,
0.111111111,2.5567,-0.364452867,1.054920828,0.284077778,1.128630237,,,
0.222222222,2.5567,-0.512762503,1.19298348,0.568155556,1.11077955,,,
0.333333333,2.5567,-1.074895168,1.254789689,0.852233333,1.043120732,,,
0.444444444,2.5567,-2.050852986,1.330331769,1.136311111,0.925653528,,,
0.555555556,2.5567,-3.440635477,1.593797377,1.420388889,0.758377997,,,
0.666666667,2.5567,-5.244244342,2.178265915,1.704466667,0.541293933,,,
0.777777778,2.5567,-7.461680488,3.093687628,1.988544444,0.274401227,,,
0.888888889,2.5567,-10.09294378,4.30504483,2.272622222,-0.042300105,,,
1,2.5567,-13.13803335,5.785802508,2.5567,-0.408809958,,,
0,2.6126,-0.629959235,0.876928548,0,1.096673641,,,
