PlantID,FL,FD,B
1,0.119017348,0.278127894,0.276519998
2,0.160200245,0.495770948,0.305033867
3,0.143709489,0.369758176,0.299529164
4,0.111460772,0.25058253,0.129737054
5,0.152322589,0.312198628,0.230225421
6,0.053206299,0.165958463,0.198291195
7,0.157297857,0.220154577,0.294757433
8,0.181967381,0.241350685,0.247665668
9,0.055646666,0.164631547,0.170652055
10,0.127057528,0.079533593,0.216964879
11,0.164348211,0.172428448,0.227714826
12,0.080620161,0.099214457,0.135140777
13,0.107425702,0.094499397,0.227616888
14,0.14290663,0.169786107,0.326312099
15,0.132811236,0.142899599,0.270671667
16,0.237604485,0.234698705,0.267159566
17,0.146639025,0.189942728,0.392670949
18,0.155987824,0.135595696,0.428539933
19,0.126116999,0.162401905,0.300184517
20,0.157284504,0.091868615,0.26015839
21,0.135259667,0.075399898,0.289291697
22,0.153788039,0.148787472,0.257860148
23,0.104942487,0.121544707,0.259217142
24,0.129597281,0.128818754,0.232402976
25,0.171299587,0.119763308,0.276474671
26,0.145493044,0.103073174,0.248408778
27,0.119546504,0.122479275,0.20357013
28,0.113843616,0.146375264,0.301107556
29,0.165719954,0.146923666,0.197393698
30,0.078444443,0.154777818,0.129381376
31,0.115138401,0.146905582,0.100886153
32,0.062735368,0.124610503,0.186914111
33,0.089109865,0.131685309,0.154781192
34,0.111125389,0.11317914,0.168344993
35,0.073058281,0.125126355,0.143155919
36,0.107225684,0.101003036,0.265117197
37,0.110573604,0.098552175,0.201944663
38,0.095006144,0.114008665,0.170178772
39,0.101061686,0.120684324,0.113131461
40,0.095945939,0.089347416,0.152758401
