FD.arg,FD.vd,value,se,x,z
0,1,0.352634548,0.711179688,0,-0.317699786
0.020833333,1,-0.148857992,0.259890938,0.020833333,-0.51298375
0.041666667,1,-0.628356333,0.364943935,0.041666667,-0.699703052
0.0625,1,-0.97868938,0.504860133,0.0625,-0.836124675
0.083333333,1,-1.358609602,0.492498445,0.083333333,-0.984067708
0.104166667,1,-1.831166305,0.542256669,0.104166667,-1.168083897
0.125,1,-2.330035318,0.739036288,0.125,-1.362346245
0.145833333,1,-2.816248145,1.009612829,0.145833333,-1.551680205
0.166666667,1,-3.31888977,1.281567421,0.166666667,-1.747411629
0.1875,1,-3.847465008,1.55590273,0.1875,-1.953241746
0.208333333,1,-4.318717766,1.873715293,0.208333333,-2.136750172
0.229166667,1,-4.57948552,2.250653311,0.229166667,-2.238294575
0.25,1,-4.494670799,2.651454419,0.25,-2.205267254
0.270833333,1,-4.024160254,3.019110833,0.270833333,-2.02204785
0.291666667,1,-3.239714615,3.315488663,0.291666667,-1.716580387
0.3125,1,-2.283196856,3.539150452,0.3125,-1.34410709
0.333333333,1,-1.300050045,3.710009032,0.333333333,-0.961264293
0.354166667,1,-0.385557537,3.838545351,0.354166667,-0.60515586
0.375,1,0.434529609,3.916626129,0.375,-0.285809397
0.395833333,1,1.188531506,3.939440747,0.395833333,0.007803105
0.416666667,1,1.923564534,3.923203306,0.416666667,0.294029025
0.4375,1,2.67051599,3.889338625,0.4375,0.584896046
0.458333333,1,3.424613588,3.836644544,0.458333333,0.878545815
0.479166667,1,4.146760823,3.745907218,0.479166667,1.159753936
0.5,1,4.780610497,3.615338994,0.5,1.406578499
0.520833333,1,5.274378287,3.478342071,0.520833333,1.598854403
0.541666667,1,5.59634527,3.378702824,0.541666667,1.724230124
0.5625,1,5.73784781,3.339598337,0.5625,1.779331994
0.583333333,1,5.704467229,3.373546284,0.583333333,1.766333412
0.604166667,1,5.501820945,3.505344984,0.604166667,1.68742183
0.625,1,5.124420201,3.74620691,0.625,1.540459896
0.645833333,1,4.553885838,4.050375486,0.645833333,1.318290665
0.666666667,1,3.767723873,4.334695612,0.666666667,1.012154854
0.6875,1,2.754421521,4.540066131,0.6875,0.617569323
0.708333333,1,1.527421247,4.655650843,0.708333333,0.139768641
0.729166667,1,0.130993491,4.686400936,0.729166667,-0.404008038
0.75,1,-1.365187829,4.618778144,0.75,-0.986629305
0.770833333,1,-2.880757125,4.449856879,0.770833333,-1.576800358
0.791666667,1,-4.342539717,4.266825162,0.791666667,-2.146026571
0.8125,1,-5.698438084,4.264611176,0.8125,-2.674020882
0.833333333,1,-6.92267122,4.580694923,0.833333333,-3.150744026
0.854166667,1,-8.012777794,5.117181731,0.854166667,-3.575237545
0.875,1,-8.985785949,5.675127014,0.875,-3.954132293
0.895833333,1,-9.880791529,6.215606405,0.895833333,-4.302652408
0.916666667,1,-10.71883639,6.736982564,0.916666667,-4.628991704
0.9375,1,-11.51192817,7.239568298,0.9375,-4.937826025
0.958333333,1,-12.26824358,7.724824825,0.958333333,-5.232339419
0.979166667,1,-12.99376246,8.194481532,0.979166667,-5.514860476
1,1,-13.69305057,8.650205878,1,-5.787167131
0,2,0.352634548,0.711179688,0,-0.317699786
0.020833333,2,0.215623367,0.323337667,0.041666667,-0.371052697
0.041666667,2,0.090258867,0.254352331,0.083333333,-0.419870325
0.0625,2,0.153562788,0.48903052,0.125,-0.395219429
0.083333333,2,0.332620709,0.446426329,0.166666667,-0.325493286
0.104166667,2,0.378804218,0.314477708,0.208333333,-0.307509172
0.125,2,0.17185667,0.271249852,0.25,-0.38809569
0.145833333,2,-0.139636884,0.278898702,0.291666667,-0.509393
0.166666667,2,-0.275401356,0.346052662,0.333333333,-0.562260435
0.1875,2,-0.075188008,0.442790939,0.375,-0.484296252
0.208333333,2,0.359793125,0.501507778,0.416666667,-0.314912197
0.229166667,2,0.730227682,0.500260227,0.458333333,-0.170662935
