FL.arg,FL.vd,value,se,x,z,,
0,1,0.453780938,0.371959204,0,0.208003104,,0.298188732
0.020833333,1,0.124153204,0.137272728,0.020833333,-0.232659778,,0.748027169
0.041666667,1,-0.190681345,0.201346942,0.041666667,-0.653546389,,
0.0625,1,-0.342952578,0.254551611,0.0625,-0.857110208,,
0.083333333,1,-0.410448755,0.202179767,0.083333333,-0.947342483,,
0.104166667,1,-0.486319065,0.180490811,0.104166667,-1.048769716,,
0.125,1,-0.587585775,0.238432293,0.125,-1.184148132,,
0.145833333,1,-0.70135666,0.328493436,0.145833333,-1.336242755,,
0.166666667,1,-0.824254839,0.422262277,0.166666667,-1.500539203,,
0.1875,1,-0.952883358,0.516823092,0.1875,-1.672496257,,
0.208333333,1,-1.063506299,0.618732039,0.208333333,-1.820382552,,
0.229166667,1,-1.114378585,0.729325174,0.229166667,-1.888391174,,
0.25,1,-1.068347809,0.839818629,0.25,-1.826854925,,
0.270833333,1,-0.914680443,0.937100564,0.270833333,-1.621424685,,
0.291666667,1,-0.674643081,1.01254391,0.291666667,-1.300530704,,
0.3125,1,-0.390137974,1.06730802,0.3125,-0.920190011,,
0.333333333,1,-0.104814332,1.109296498,0.333333333,-0.538755061,,
0.354166667,1,0.151531639,1.143963443,0.354166667,-0.196058914,,
0.375,1,0.369008515,1.170386263,0.375,0.094675079,,
0.395833333,1,0.553930253,1.187908781,0.395833333,0.34188773,,
0.416666667,1,0.719505105,1.201998791,0.416666667,0.563236495,,
0.4375,1,0.876377086,1.218259494,0.4375,0.772950824,,
0.458333333,1,1.027113969,1.232719226,0.458333333,0.974463447,,
0.479166667,1,1.165965326,1.234830487,0.479166667,1.160086903,,
0.5,1,1.282555215,1.220828394,0.5,1.315950113,,
0.520833333,1,1.366725408,1.199346264,0.520833333,1.428473047,,
0.541666667,1,1.411861195,1.182199289,0.541666667,1.48881283,,
0.5625,1,1.415349004,1.17414462,0.5625,1.493475509,,
0.583333333,1,1.376538871,1.176896674,0.583333333,1.441592177,,
0.604166667,1,1.293873868,1.197841932,0.604166667,1.331081456,,
0.625,1,1.163153906,1.243012835,0.625,1.156328456,,
0.645833333,1,0.97816598,1.301563711,0.645833333,0.909027321,,
0.666666667,1,0.733566798,1.349048308,0.666666667,0.582034871,,
0.6875,1,0.42864508,1.368036533,0.6875,0.174400229,,
0.708333333,1,0.070049695,1.35858739,0.708333333,-0.304988061,,
0.729166667,1,-0.327991339,1.326906454,0.729166667,-0.837109274,,
0.75,1,-0.746242721,1.270422014,0.75,-1.396248692,,
0.770833333,1,-1.16475902,1.187979233,0.770833333,-1.955742265,,
0.791666667,1,-1.567024278,1.115238761,0.791666667,-2.493510632,,
0.8125,1,-1.942202588,1.135105096,0.8125,-2.995067809,,
0.833333333,1,-2.284877052,1.293937917,0.833333333,-3.453172214,,
0.854166667,1,-2.593321607,1.530478635,0.854166667,-3.865516361,,
0.875,1,-2.869670375,1.761551144,0.875,-4.23495325,,
0.895833333,1,-3.124858038,1.977589486,0.895833333,-4.576100913,,
