arg,vd,value,se,x,z,sd,z2
0,1,1.183699038,0.517234078,0,0.728358462,2.83300772,0.124849303
0.020833333,1,0.221734471,0.185606849,0.020833333,0.136438548,1.01661058,-0.598326971
0.041666667,1,-0.6735702,0.213952143,0.041666667,-0.41446393,1.171864149,-1.283058451
0.0625,1,-0.993669283,0.265023605,0.0625,-0.611428588,1.451594067,-1.256321808
0.083333333,1,-1.026952635,0.23382558,0.083333333,-0.631908634,1.280715447,-1.449933816
0.104166667,1,-1.122387799,0.318674699,0.104166667,-0.690632183,1.745453211,-1.118556365
0.125,1,-1.374752699,0.489874362,0.125,-0.84591837,2.683152384,-0.82170238
0.145833333,1,-1.776405727,0.686042486,0.145833333,-1.09306513,3.75760945,-0.693634014
0.166666667,1,-2.338959296,0.889665022,0.166666667,-1.439217859,4.872896012,-0.650323604
0.1875,1,-3.05294147,1.128616626,0.1875,-1.878548247,6.181687848,-0.628136128
0.208333333,1,-3.819439769,1.447928912,0.208333333,-2.350193069,7.930633268,-0.586263368
0.229166667,1,-4.462604131,1.852524569,0.229166667,-2.745947557,10.14669495,-0.521608677
0.25,1,-4.811239294,2.294898005,0.25,-2.96047115,12.56967405,-0.44879758
0.270833333,1,-4.778869201,2.710974782,0.270833333,-2.940553054,14.84862041,-0.377736722
0.291666667,1,-4.391242995,3.056924543,0.291666667,-2.702037335,16.74346529,-0.311837658
0.3125,1,-3.757302239,3.322604121,0.3125,-2.311958354,18.19865227,-0.25206824
0.333333333,1,-3.011482865,3.518449462,0.333333333,-1.9986,19.27134138,-0.199336558
0.354166667,1,-2.260666143,3.652505602,0.354166667,-2.0335,20.0055971,-0.154490072
0.375,1,-1.556867787,3.724042529,0.375,-2.001,20.39742098,-0.117018117
0.395833333,1,-0.899552725,3.737394182,0.395833333,-1.225,20.470551,-0.084489798
0.416666667,1,-0.258213293,3.709986555,0.416666667,-0.158884844,20.32043324,-0.053552662
0.4375,1,0.399613485,3.656684638,0.4375,0.24589178,20.02848662,-0.021488719
0.458333333,1,1.087726166,3.570299177,0.458333333,0.669304048,19.55533396,0.013179328
0.479166667,1,1.794372178,3.430231919,0.479166667,1.104120319,18.788154,0.051328735
0.5,1,2.488172117,3.233602745,0.5,2.558,17.71117165,0.093622949
0.520833333,1,3.130943533,3.011824488,0.520833333,2.663,16.49644211,0.139481199
0.541666667,1,3.690177734,2.815692755,0.541666667,2.270655033,15.42218437,0.185458666
0.5625,1,4.145905394,2.694753874,0.5625,2.551075213,14.75977484,0.224658264
0.583333333,1,4.490459866,2.701697689,0.583333333,2.76308786,14.79780768,0.247365011
0.604166667,1,4.723283304,2.891463153,0.604166667,2.906349716,15.83719593,0.245831606
0.625,1,4.844861398,3.270992081,0.625,2.981159638,17.91596148,0.224094107
0.645833333,1,4.853500124,3.768996634,0.645833333,2.986475254,20.64364476,0.194902604
0.666666667,1,4.746475378,4.286895205,0.666666667,2.920620356,23.48029205,0.16679841
0.6875,1,4.524398342,4.759662073,0.6875,2.783971019,26.06974283,0.141712113
0.708333333,1,4.195872346,5.16599961,0.708333333,2.581821079,28.29534518,0.118954984
0.729166667,1,3.779514619,5.499646599,0.729166667,2.325626165,30.12280501,0.097916333
0.75,1,3.302052317,5.749364063,0.75,2.031832138,31.49056389,0.078501367
0.770833333,1,2.79348751,5.920365197,0.770833333,1.718899991,32.42717567,0.060550679
0.791666667,1,2.281939988,6.07193832,0.791666667,1.404132509,33.25737586,0.043657683
0.8125,1,1.790749722,6.306169645,0.8125,1.101891335,34.54031366,0.027815316
0.833333333,1,1.33860376,6.684274142,0.833333333,0.82367506,36.61127728,0.013891997
0.854166667,1,0.940419401,7.160089045,0.854166667,0.578662655,39.21742284,0.00281557
0.875,1,0.6014363,7.63665733,0.875,0.370078207,41.82769484,-0.005464411
0.895833333,1,0.29880685,8.098738517,0.895833333,0.183863035,44.35861773,-0.011974971
0.916666667,1,0.020651901,8.547246733,0.916666667,0.012707611,46.8151984,-0.017288148
0.9375,1,-0.239121476,8.982906256,0.9375,-0.14713719,49.20140388,-0.021729491
0.958333333,1,-0.484444006,9.406766792,0.958333333,-0.298090038,51.52298365,-0.025511799
0.979166667,1,-0.718084973,9.819938936,0.979166667,-0.441854939,53.78602069,-0.028782292
1,1,-0.942098311,10.22347308,1,-0.579695729,55.99626822,-0.031646722
0,2,1.183699038,0.517234078,0,0.728358462,2.83300772,0.124849303
0.020833333,2,0.537074699,0.225520695,0.041666667,0.330474968,1.235227718,-0.237142752
0.041666667,2,-0.22907165,0.168575215,0.083333333,-0.140953291,0.923324479,-1.147020007
0.0625,2,-0.558626718,0.328110301,0.125,-0.343736443,1.797134132,-0.772689525
0.083333333,2,-0.354614368,0.2564171,0.166666667,-0.218202742,1.404454298,-0.843469502
0.104166667,2,-0.012943974,0.148400229,0.208333333,-0.007964738,0.81282153,-1.037059112
0.125,2,0.089218734,0.182838089,0.25,0.054898431,1.001445457,-0.739712044
0.145833333,2,-0.060928519,0.196979587,0.291666667,-0.037490782,1.078901632,-0.825773632
0.166666667,2,-0.194405027,0.193797887,0.333333333,-0.119622085,1.061474743,-0.965077157
