banner.arg,banner.vd,value,se,x,Z,,mean value,3.61386314
0,2,-0.745085976,0.771993873,0,-5.646351959,,,
0.058823529,2,0.127758965,0.199379718,0.117647059,-17.48474827,,,
0.117647059,2,1.037672956,0.596228898,0.235294118,-4.320807318,,,
0.176470588,2,2.021725043,1.153248061,0.352941176,-1.380568631,,,
0.235294118,2,3.116984276,1.68057761,0.470588235,-0.295659576,,,
0.294117647,2,4.347171823,2.266351572,0.588235294,0.323563516,,,
0.352941176,2,5.682617331,2.981740239,0.705882353,0.693807651,,,
0.411764706,2,7.080302565,3.794535657,0.823529412,0.91353455,,,
0.470588235,2,8.497209292,4.628984062,0.941176471,1.054949874,,,
0.529411765,2,9.897951858,5.444234138,1.058823529,1.154264964,,,
0.588235294,2,11.27767493,6.283716214,1.176470588,1.219630474,,,
0.647058824,2,12.63915573,7.175755182,1.294117647,1.257748121,,,
0.705882353,2,13.98517152,8.116153201,1.411764706,1.277860105,,,
0.764705882,2,15.31856532,9.101172369,1.529411765,1.286065323,,,
0.823529412,2,16.64244328,10.1582582,1.647058824,1.282560444,,,
0.882352941,2,17.95997736,11.31007959,1.764705882,1.268436186,,,
0.941176471,2,19.27433949,12.55497167,1.882352941,1.247352584,,,
0,3,-1.062539657,0.291661479,0,-16.03366621,,,
0.058823529,3,0.079440084,0.093994304,0.176470588,-37.6025238,,,
0.117647059,3,1.219498997,0.330031868,0.352941176,-7.254948302,,,
0.176470588,3,2.355716253,0.644239827,0.529411765,-1.952916965,,,
0.235294118,3,3.486171023,1.041752228,0.705882353,-0.122574364,,,
0.294117647,3,4.609980967,1.58761178,0.882352941,0.627431617,,,
0.352941176,3,5.730417694,2.267820289,1.058823529,0.933299064,,,
0.411764706,3,6.851791304,3.017655306,1.235294118,1.072994705,,,
0.470588235,3,7.978411895,3.77573765,1.411764706,1.155945979,,,
0.529411765,3,9.114777502,4.519575223,1.588235294,1.217130834,,,
0.588235294,3,10.26613791,5.287001624,1.764705882,1.258232028,,,
