banner.arg,banner.vd,value,se,x,Z
0,2,-0.694875067,0.655650777,0,-1.059824973
0.058823529,2,-0.14755807,0.638001068,0.117647059,-0.231281855
0.117647059,2,0.400706136,0.672773175,0.235294118,0.595603617
0.176470588,2,0.949452981,0.753374234,0.352941176,1.260267392
0.235294118,2,1.498430777,0.867402518,0.470588235,1.727491846
0.294117647,2,2.047483387,1.003612855,0.588235294,2.040112755
0.352941176,2,2.596500351,1.154182719,0.705882353,2.249644106
0.411764706,2,3.145400328,1.314148221,0.823529412,2.393489774
0.470588235,2,3.694122794,1.480407184,0.941176471,2.495342385
0.529411765,2,4.24262303,1.65098874,1.058823529,2.569746799
0.588235294,2,4.790868705,1.824605864,1.176470588,2.625700596
0.647058824,2,5.338837351,2.00039291,1.294117647,2.668894358
0.705882353,2,5.886514406,2.177751177,1.411764706,2.703024326
0.764705882,2,6.433891633,2.35625614,1.529411765,2.730556973
0.823529412,2,6.980965832,2.535600197,1.647058824,2.753180821
0.882352941,2,7.527737776,2.715556316,1.764705882,2.77207942
0.941176471,2,8.074211326,2.895954308,1.882352941,2.788100386
0,3,-0.449755747,0.20384333,0,-2.206379511
0.058823529,3,0.10191957,0.11583841,0.176470588,0.87984262
0.117647059,3,0.65205499,0.250078361,0.352941176,2.60740269
0.176470588,3,1.19999488,0.431911096,0.529411765,2.778337695
0.235294118,3,1.746446807,0.619420445,0.705882353,2.819485248
0.294117647,3,2.291792843,0.808118695,0.882352941,2.835960678
0.352941176,3,2.836232006,0.996948763,1.058823529,2.844912508
0.411764706,3,3.379904132,1.185549669,1.235294118,2.850917359
0.470588235,3,3.922920106,1.373770366,1.411764706,2.855586496
0.529411765,3,4.465374004,1.561541418,1.588235294,2.859593702
0.588235294,3,5.007348805,1.748831721,1.764705882,2.863253647
0.647058824,3,5.548919232,1.935630999,1.941176471,2.866723686
0.705882353,3,6.090153164,2.121941493,2.117647059,2.870085336
0.764705882,3,6.631112322,2.307773411,2.294117647,2.873381022
0.823529412,3,7.171852586,2.493142096,2.470588235,2.876632101
0.882352941,3,7.712424157,2.67806611,2.647058824,2.879848309
0.941176471,3,8.252871673,2.862565861,2.823529412,2.883032941
0,4,-0.560815701,0.262205644,0,-2.138839167
0.058823529,4,-0.004550103,0.117229411,0.235294118,-0.038813663
0.117647059,4,0.549822763,0.207984345,0.470588235,2.643577632
0.176470588,4,1.100779076,0.394781489,0.705882353,2.788324947
0.235294118,4,1.647841361,0.585771653,0.941176471,2.813112159
0.294117647,4,2.192861619,0.776053731,1.176470588,2.825656952
0.352941176,4,2.736828296,0.96552059,1.411764706,2.834562333
0.411764706,4,3.280259464,1.154226002,1.647058824,2.841955958
0.470588235,4,3.823485517,1.342252897,1.882352941,2.848558216
0.529411765,4,4.36672788,1.529673679,2.117647059,2.854679361
0.588235294,4,4.910135676,1.716545784,2.352941176,2.860474635
0.647058824,4,5.453806761,1.902914359,2.588235294,2.866028487
0.705882353,4,5.997801386,2.08881563,2.823529412,2.871388599
0.764705882,4,6.542151773,2.2742796,3.058823529,2.876582006
0.823529412,4,7.086869172,2.459331943,3.294117647,2.881623683
0.882352941,4,7.631949209,2.643995264,3.529411765,2.886521512
0.941176471,4,8.177376014,2.828289896,3.764705882,2.891279294
0,5,-1.037869362,0.459993542,0,-2.256269419
0.058823529,5,-0.494439879,0.332117571,0.294117647,-1.488749534
0.117647059,5,0.054866377,0.30055146,0.588235294,0.182552357
0.176470588,5,0.610045082,0.395810346,0.882352941,1.54125603
0.235294118,5,1.170616242,0.552271035,1.176470588,2.119640844
0.294117647,5,1.735572682,0.725801663,1.470588235,2.391249249
0.352941176,5,2.303309559,0.905771928,1.764705882,2.542924426
0.411764706,5,2.872856208,1.088830285,2.058823529,2.638479336
0.470588235,5,3.443579372,1.273484594,2.352941176,2.704060489
0.529411765,5,4.015011123,1.45899629,2.647058824,2.751899474
0.588235294,5,4.586790449,1.644957892,2.941176471,2.788393838
0.647058824,5,5.158632782,1.831124221,3.235294118,2.817194334
0.705882353,5,5.730311192,2.017337619,3.529411765,2.840531569
0.764705882,5,6.301643615,2.20349161,3.823529412,2.859844615
0.823529412,5,6.872483614,2.389511791,4.117647059,2.876103663
0.882352941,5,7.442713443,2.57534502,4.411764706,2.889986929
0.941176471,5,8.012238688,2.760952909,4.705882353,2.901983102
0,6,-0.283210455,0.446124433,0,-0.634823907
0.058823529,6,0.268643133,0.38324792,0.352941176,0.700964361
0.117647059,6,0.821211825,0.405868917,0.705882353,2.023342488
0.176470588,6,1.374469869,0.502787827,1.058823529,2.733697585
0.235294118,6,1.928374683,0.641251627,1.411764706,3.00720435
0.294117647,6,2.482867679,0.799992007,1.764705882,3.103615608
0.352941176,6,3.037875843,0.969065878,2.117647059,3.134849664
0.411764706,6,3.593313916,1.143838164,2.470588235,3.141453073
0.470588235,6,4.149087037,1.321968631,2.823529412,3.138566936
0.529411765,6,4.705093621,1.502169681,3.176470588,3.1321985
0.588235294,6,5.261228289,1.683677987,3.529411765,3.124842357
0.647058824,6,5.817384683,1.866012496,3.882352941,3.117548621
0.705882353,6,6.373458017,2.048854819,4.235294118,3.110741649
0.764705882,6,6.929347277,2.231985898,4.588235294,3.104565885
0.823529412,6,7.484957019,2.415250371,4.941176471,3.099039797
0.882352941,6,8.040198748,2.598535424,5.294117647,3.094127051
0.941176471,6,8.594991895,2.781757671,5.647058824,3.089770178
0,7,0.718493337,0.515259588,0,1.394429824
0.058823529,7,1.278987503,0.513011851,0.411764706,2.493095431
0.117647059,7,1.837412036,0.573807775,0.823529412,3.202138618
0.176470588,7,2.39365063,0.680919324,1.235294118,3.515321925
0.235294118,7,2.947613209,0.816251288,1.647058824,3.611159028
0.294117647,7,3.499238651,0.96796435,2.058823529,3.615049101
0.352941176,7,4.048496312,1.12939088,2.470588235,3.584672396
0.411764706,7,4.595386231,1.296813579,2.882352941,3.543598175
0.470588235,7,5.139938031,1.468078908,3.294117647,3.501131993
0.529411765,7,5.682208635,1.641873928,3.705882353,3.460806909
0.588235294,7,6.222279034,1.817356174,4.117647059,3.423808235
0.647058824,7,6.760250419,1.993959099,4.529411765,3.390365641
0.705882353,7,7.296239962,2.171285867,4.941176471,3.360331346
0.764705882,7,7.830376571,2.34904912,5.352941176,3.333423939
0.823529412,7,8.362796842,2.527035617,5.764705882,3.309330817
0.882352941,7,8.893641391,2.705084785,6.176470588,3.28774959
0.941176471,7,9.423051672,2.883075249,6.588235294,3.268402958
0,8,0.849818624,0.638772089,0,1.330394109
0.058823529,8,1.427954555,0.631523902,0.470588235,2.261125112
0.117647059,8,2.002460508,0.675363977,0.941176471,2.965009351
0.176470588,8,2.57144406,0.761145883,1.411764706,3.378385296
0.235294118,8,3.13161813,0.876101563,1.882352941,3.574492116
0.294117647,8,3.681721271,1.010340291,2.352941176,3.644040827
0.352941176,8,4.221912468,1.157406151,2.823529412,3.647736331
0.411764706,8,4.753638383,1.313351732,3.294117647,3.619470907
0.470588235,8,5.279968517,1.475906583,3.764705882,3.577440861
0.529411765,8,5.802661661,1.643412675,4.235294118,3.530860962
0.588235294,8,6.322783132,1.814630724,4.705882353,3.484335985
0.647058824,8,6.84107153,1.988604559,5.176470588,3.440136702
0.705882353,8,7.358055578,2.164552233,5.647058824,3.399343045
0.764705882,8,7.874110764,2.341788072,6.117647059,3.362435251
0.823529412,8,8.389488897,2.519659157,6.588235294,3.329612607
0.882352941,8,8.904326287,2.697470028,7.058823529,3.300991743
0.941176471,8,9.418594966,2.874269701,7.529411765,3.276865411
0,9,-0.834300959,0.653985034,0,-1.275718733
0.058823529,9,-0.303546057,0.561095793,0.529411765,-0.540987939
0.117647059,9,0.229199826,0.511383704,1.058823529,0.448195404
0.176470588,9,0.765536812,0.517472813,1.588235294,1.479375907
0.235294118,9,1.306592802,0.581853141,2.117647059,2.245571451
0.294117647,9,1.853123495,0.691458992,2.647058824,2.680019375
0.352941176,9,2.405498808,0.828515494,3.176470588,2.903384215
0.411764706,9,2.96356683,0.98015756,3.705882353,3.023561673
0.470588235,9,3.52635993,1.140196087,4.235294118,3.092766208
0.529411765,9,4.091692647,1.306802067,4.764705882,3.131072985
0.588235294,9,4.658291628,1.478676528,5.294117647,3.150311471
0.647058824,9,5.225377805,1.654710088,5.823529412,3.157881156
0.705882353,9,5.792410662,1.833932292,6.352941176,3.15846484
0.764705882,9,6.359007247,2.015447783,6.882352941,3.155133713
0.823529412,9,6.924904279,2.198381925,7.411764706,3.150000552
0.882352941,9,7.489943528,2.381811286,7.941176471,3.144641883
0.941176471,9,8.054100993,2.564551008,8.470588235,3.140550127
0,10,-1.442823648,0.659021425,0,-2.18934255
0.058823529,10,-0.899754339,0.483978275,0.588235294,-1.859080016
0.117647059,10,-0.353906784,0.320802034,1.176470588,-1.103193705
0.176470588,10,0.194863727,0.213024015,1.764705882,0.914750044
0.235294118,10,0.746534033,0.245537504,2.352941176,3.040407351
0.294117647,10,1.30092996,0.38181759,2.941176471,3.407202799
0.352941176,10,1.857746381,0.550819667,3.529411765,3.372694351
0.411764706,10,2.416578737,0.7306722,4.117647059,3.307336365
0.470588235,10,2.976959751,0.912095973,4.705882353,3.263866783
0.529411765,10,3.53837794,1.090860475,5.294117647,3.243657664
0.588235294,10,4.100270097,1.268356197,5.882352941,3.232743378
0.647058824,10,4.66225152,1.445523982,6.470588235,3.225302091
0.705882353,10,5.224042247,1.622766777,7.058823529,3.219219373
0.764705882,10,5.785425274,1.800271041,7.647058824,3.213641247
0.823529412,10,6.346230281,1.978106132,8.235294118,3.208235483
0.882352941,10,6.906324002,2.15627375,8.823529412,3.202897592
0.941176471,10,7.465603462,2.334736587,9.411764706,3.197621309
0,11,-1.381816171,0.807958517,0,-1.710256334
0.058823529,11,-0.810884522,0.645793167,0.647058824,-1.255641223
0.117647059,11,-0.241126068,0.498910279,1.294117647,-0.483305472
0.176470588,11,0.326820033,0.390214149,1.941176471,0.837540192
0.235294118,11,0.892217532,0.354087765,2.588235294,2.5197638
0.294117647,11,1.454153497,0.406497231,3.235294118,3.57727774
0.352941176,11,2.011564259,0.52181765,3.882352941,3.854918011
0.411764706,11,2.563386734,0.670204733,4.529411765,3.824781604
0.470588235,11,3.108817329,0.834198251,5.176470588,3.726712837
0.529411765,11,3.647640487,1.004408941,5.823529412,3.631628848
0.588235294,11,4.180696653,1.177229096,6.470588235,3.551302518
0.647058824,11,4.710392413,1.352942043,7.117647059,3.481592163
0.705882353,11,5.238073299,1.531470874,7.764705882,3.420289205
0.764705882,11,5.764513026,1.712319028,8.411764706,3.366494755
0.823529412,11,6.290215027,1.894746446,9.058823529,3.319818882
0.882352941,11,6.815500234,2.077782849,9.705882353,3.280179272
0.941176471,11,7.340515669,2.260009565,10.35294118,3.248002036
0,12,-2.510652094,1.018490213,0,-2.46507238
0.058823529,12,-1.977115625,0.853583614,0.705882353,-2.316253021
0.117647059,12,-1.439698957,0.696136663,1.411764706,-2.068126897
0.176470588,12,-0.898847096,0.55741272,2.117647059,-1.612534239
0.235294118,12,-0.355769139,0.458576836,2.823529412,-0.775811405
0.294117647,12,0.188991034,0.428334562,3.529411765,0.441222939
0.352941176,12,0.735377918,0.477082903,4.235294118,1.541404885
0.411764706,12,1.283774922,0.582444709,4.941176471,2.204114662
0.470588235,12,1.833899633,0.724084541,5.647058824,2.5327148
0.529411765,12,2.386119953,0.885606449,6.352941176,2.694334438
0.588235294,12,2.940401812,1.056416002,7.058823529,2.783374927
0.647058824,12,3.496287384,1.229770534,7.764705882,2.843040459
0.705882353,12,4.052796364,1.404662628,8.470588235,2.885245385
0.764705882,12,4.609364834,1.580780888,9.176470588,2.915878393
0.823529412,12,5.165657276,1.757822722,9.882352941,2.93866794
0.882352941,12,5.721450465,1.935539585,10.58823529,2.95599765
0.941176471,12,6.276594002,2.113724147,11.29411765,2.969448028
0,13,-2.815434137,1.069938401,0,-2.631398346
0.058823529,13,-2.291143974,0.932037235,0.764705882,-2.458210775
0.117647059,13,-1.765472222,0.810764574,1.529411765,-2.177539915
0.176470588,13,-1.238342607,0.714884012,2.294117647,-1.732228706
0.235294118,13,-0.709680635,0.65582049,3.058823529,-1.082126353
0.294117647,13,-0.179408023,0.643893396,3.823529412,-0.27863001
0.352941176,13,0.352570173,0.681605287,4.588235294,0.517264434
0.411764706,13,0.886410458,0.761528629,5.352941176,1.163988357
0.470588235,13,1.422398272,0.872628291,6.117647059,1.630016224
0.529411765,13,1.960498905,1.007896569,6.882352941,1.945138981
0.588235294,13,2.500511929,1.160053126,7.647058824,2.155515014
0.647058824,13,3.042173342,1.321161515,8.411764706,2.302650589
0.705882353,13,3.585211631,1.485321371,9.176470588,2.413761561
0.764705882,13,4.129394365,1.651307394,9.941176471,2.500681811
0.823529412,13,4.67453137,1.818613477,10.70588235,2.570382013
0.882352941,13,5.220455215,1.986867694,11.47058824,2.627480043
0.941176471,13,5.767013426,2.155820796,12.23529412,2.675089431
0,14,-2.461885353,1.113918556,0,-2.210112526
0.058823529,14,-1.940164896,0.983341488,0.823529412,-1.973032686
0.117647059,14,-1.418202006,0.869455238,1.647058824,-1.631138607
0.176470588,14,-0.895974923,0.779694899,2.470588235,-1.149135289
0.235294118,14,-0.373464,0.723172015,3.294117647,-0.516424851
0.294117647,14,0.149347838,0.707938328,4.117647059,0.21096165
