banner.arg,banner.vd,value,se,x,Z
0,2,-0.652761822,0.242646059,0,-2.69018102
0.058823529,2,0.834923481,0.318862983,0.117647059,2.61843966
0.117647059,2,3.267193107,1.761146602,0.235294118,1.855151129
0.176470588,2,9.589197732,2.799034735,0.352941176,3.425894511
0.235294118,2,14.06707191,4.444552601,0.470588235,3.165014158
0.294117647,2,17.73326503,6.196435619,0.588235294,2.861849314
0.352941176,2,21.23062804,8.035683864,0.705882353,2.642043714
0.411764706,2,25.44695928,10.02922862,0.823529412,2.537279809
0.470588235,2,30.1402525,12.18400265,0.941176471,2.473756232
0.529411765,2,34.61698973,14.40283187,1.058823529,2.403484956
0.588235294,2,38.87600547,16.53492319,1.176470588,2.351145211
0.647058824,2,43.1407948,18.48822177,1.294117647,2.333420452
0.705882353,2,47.47757081,20.26821725,1.411764706,2.342464077
0.764705882,2,51.84078947,21.92308059,1.529411765,2.364667194
0.823529412,2,56.17997055,23.49159888,1.647058824,2.391491989
0.882352941,2,60.47225971,24.99229627,1.764705882,2.419635997
0.941176471,2,64.71513658,26.43779513,1.882352941,2.44782654
0,3,-0.652761822,0.242646059,0,-2.69018102
0.058823529,3,0.179546321,0.19208461,0.176470588,0.934725178
0.117647059,3,0.736317734,1.110887546,0.352941176,0.662819326
0.176470588,3,6.30525298,1.606789383,0.529411765,3.924131593
0.235294118,3,9.232557596,2.781666208,0.705882353,3.319074578
0.294117647,3,11.43778473,3.886785572,0.882352941,2.942736233
0.352941176,3,12.97406755,5.014368813,1.058823529,2.587377999
0.411764706,3,15.19826266,6.255162899,1.235294118,2.429714925
0.470588235,3,19.1645077,7.734840511,1.411764706,2.477686214
0.529411765,3,22.64730016,9.435393131,1.588235294,2.400249766
0.588235294,3,25.26937274,11.18045058,1.764705882,2.26013903
0.647058824,3,27.90654435,12.6742625,1.941176471,2.201827866
0.705882353,3,30.91201601,13.8530217,2.117647059,2.231427676
0.764705882,3,34.1067225,14.83973639,2.294117647,2.298337492
0.823529412,3,37.2815492,15.78490321,2.470588235,2.361848451
0.882352941,3,40.36786062,16.75692244,2.647058824,2.409025927
0.941176471,3,43.36834417,17.73110965,2.823529412,2.445890021
0,4,-0.652761822,0.242646059,0,-2.69018102
0.058823529,4,-0.11515089,0.333797575,0.235294118,-0.344972219
0.117647059,4,-0.388554661,0.84242086,0.470588235,-0.461235802
0.176470588,4,4.680542041,1.127321016,0.705882353,4.151915891
0.235294118,4,6.685601886,2.077109282,0.941176471,3.21870493
0.294117647,4,8.181288305,2.78834811,1.176470588,2.934098607
0.352941176,4,8.891968898,3.528104553,1.411764706,2.520324657
0.411764706,4,9.610048097,4.331730412,1.647058824,2.21852405
0.470588235,4,13.53918393,5.428974544,1.882352941,2.493875007
