fd.arg,fd.vd,value,se,x,Z
0,2,-0.945371315,0.641937628,0,-1.472684066
0.058823529,2,1.601593852,0.755623781,0.117647059,2.119565176
0.117647059,2,3.626775132,2.328206211,0.235294118,1.557755114
0.176470588,2,13.25948022,4.367334522,0.352941176,3.036057841
0.235294118,2,19.37259349,6.894913236,0.470588235,2.809693585
0.294117647,2,23.4613744,9.209672399,0.588235294,2.547471114
0.352941176,2,27.67739887,11.90325463,0.705882353,2.3251959
0.411764706,2,33.40456238,14.95429607,0.823529412,2.233776984
0.470588235,2,40.1022818,18.1693796,0.941176471,2.207135449
0.529411765,2,46.68277417,21.40063416,1.058823529,2.181373403
0.588235294,2,53.00906971,24.51282403,1.176470588,2.162503579
0.647058824,2,59.33282074,27.43574608,1.294117647,2.16261007
0.705882353,2,65.75206267,30.19034092,1.411764706,2.177917197
0.764705882,2,72.23126062,32.82510298,1.529411765,2.20048847
0.823529412,2,78.70260002,35.36390403,1.647058824,2.225506549
0.882352941,2,85.10501872,37.80495133,1.764705882,2.251160648
0.941176471,2,91.40148457,40.14763131,1.882352941,2.276634551
0,3,-0.945371315,0.641937628,0,-1.472684066
0.058823529,3,1.081535942,0.447584429,0.176470588,2.4163842
0.117647059,3,0.259195999,1.562669944,0.352941176,0.165867399
0.176470588,3,8.92486228,2.663976082,0.529411765,3.350203608
0.235294118,3,13.50536066,4.686365824,0.705882353,2.881840892
0.294117647,3,15.43012999,5.869575991,0.882352941,2.628832136
0.352941176,3,16.54400629,7.39215835,1.058823529,2.238048146
0.411764706,3,19.48983312,9.419675795,1.235294118,2.069055618
0.470588235,3,25.07139241,11.73134576,1.411764706,2.137128419
0.529411765,3,30.34786741,14.17168822,1.588235294,2.141443344
0.588235294,3,34.45054038,16.6012937,1.764705882,2.075172033
0.647058824,3,38.47104162,18.74379581,1.941176471,2.052468028
0.705882353,3,42.86805203,20.57023531,2.117647059,2.083984523
0.764705882,3,47.49957717,22.23247623,2.294117647,2.136495129
0.823529412,3,52.23292717,23.88276086,2.470588235,2.187055654
0.882352941,3,56.98801897,25.56460807,2.647058824,2.229176321
0.941176471,3,61.64891656,27.20495626,2.823529412,2.266091368
0,4,-0.945371315,0.641937628,0,-1.472684066
0.058823529,4,0.870738145,0.573893459,0.235294118,1.517247028
0.117647059,4,-1.110483004,1.277081405,0.470588235,-0.869547548
