fd.arg,fd.vd,value,se,x,,,,,v2
0,2,-0.839561797,0.41587365,0,,,,,-0.104945225
0.058823529,2,1.616971043,0.687669228,0.117647059,,,,,0.20212138
0.117647059,2,2.667905847,2.659889396,0.235294118,,,,,0.333488231
0.176470588,2,14.67905262,4.214101105,0.352941176,,,,,1.834881577
0.235294118,2,20.68876814,6.854873577,0.470588235,,,,,2.586096017
0.294117647,2,24.85902101,9.505403934,0.588235294,,,,,3.107377626
0.352941176,2,29.52585278,12.50977164,0.705882353,,,,,3.690731598
0.411764706,2,35.24970978,15.86989936,0.823529412,,,,,4.406213722
0.470588235,2,41.42334416,19.45677564,0.941176471,,,,,5.17791802
0.529411765,2,47.38939676,23.14892528,1.058823529,,,,,5.923674595
0.588235294,2,53.34259185,26.73392355,1.176470588,,,,,6.667823981
0.647058824,2,59.72659736,30.09110837,1.294117647,,,,,7.465824671
0.705882353,2,66.71700197,33.26519036,1.411764706,,,,,8.339625246
0.764705882,2,74.21663167,36.33605578,1.529411765,,,,,9.277078959
0.823529412,2,82.01260515,39.32728102,1.647058824,,,,,10.25157564
0.882352941,2,89.90282267,42.21829994,1.764705882,,,,,11.23785283
0.941176471,2,97.75252183,44.99462958,1.882352941,,,,,12.21906523
0,3,-0.839561797,0.41587365,0,,,,,-0.104945225
0.058823529,3,1.356974179,0.506358064,0.176470588,,,,,0.169621772
0.117647059,3,-1.07851617,2.029115506,0.352941176,,,,,-0.134814521
0.176470588,3,10.49166207,2.65671959,0.529411765,,,,,1.311457759
0.235294118,3,14.25488358,4.658183428,0.705882353,,,,,1.781860448
0.294117647,3,15.83997115,6.136565168,0.882352941,,,,,1.979996394
0.352941176,3,17.86422457,7.848633717,1.058823529,,,,,2.233028072
0.411764706,3,21.37326276,10.06665713,1.235294118,,,,,2.671657845
0.470588235,3,26.3726253,12.55748847,1.411764706,,,,,3.296578163
0.529411765,3,30.67799505,15.35484755,1.588235294,,,,,3.834749381
0.588235294,3,34.01699745,18.26636639,1.764705882,,,,,4.252124681
0.647058824,3,37.64696085,20.7502577,1.941176471,,,,,4.705870106
0.705882353,3,42.31733945,22.78979015,2.117647059,,,,,5.289667431
0.764705882,3,48.04018483,24.7063529,2.294117647,,,,,6.005023104
0.823529412,3,54.4587653,26.74016572,2.470588235,,,,,6.807345663
0.882352941,3,61.13124305,28.89348781,2.647058824,,,,,7.641405381
0.941176471,3,67.72521278,31.01586623,2.823529412,,,,,8.465651598
0,4,-0.839561797,0.41587365,0,,,,,-0.104945225
0.058823529,4,1.270888884,0.733130078,0.235294118,,,,,0.158861111
0.117647059,4,-2.455364632,1.757622378,0.470588235,,,,,-0.306920579
0.176470588,4,8.121159846,1.990788563,0.705882353,,,,,1.015144981
0.235294118,4,10.6896606,3.751620875,0.941176471,,,,,1.336207576
0.294117647,4,11.06077464,4.595825357,1.176470588,,,,,1.38259683
0.352941176,4,11.84611638,5.518141109,1.411764706,,,,,1.480764548
0.411764706,4,13.92047723,7.049317281,1.647058824,,,,,1.740059654
0.470588235,4,18.65246881,8.94313086,1.882352941,,,,,2.331558601
0.529411765,4,22.48599549,11.11878252,2.117647059,,,,,2.810749436
0.588235294,4,24.28741967,13.82328154,2.352941176,,,,,3.035927459
0.647058824,4,26.22017156,15.94188969,2.588235294,,,,,3.277521445
0.705882353,4,29.56319372,17.28254325,2.823529412,,,,,3.695399215
0.764705882,4,34.38001103,18.37478473,3.058823529,,,,,4.297501378
0.823529412,4,40.22989145,19.72675098,3.294117647,,,,,5.028736431
0.882352941,4,46.48187657,21.5234177,3.529411765,,,,,5.810234572
