fd.arg,fd.vd,value,se,x,Z,,,MEAN VALUE,14.15067775
0,2,-2.060612136,1.189924802,0,-13.62379547,,,,
0.058823529,2,1.212318594,0.762184135,0.117647059,-16.97537487,,,,
0.117647059,2,4.055256047,1.96895632,0.235294118,-5.127297062,,,,
0.176470588,2,6.038206942,2.894426002,0.352941176,-2.80279166,,,,
0.235294118,2,6.731178003,3.515269029,0.470588235,-2.110649835,,,,
0.294117647,2,5.957532308,4.44113107,0.588235294,-1.844833571,,,,
0.352941176,2,4.554058368,6.005290118,0.705882353,-1.598027979,,,,
0.411764706,2,3.61090105,7.690453199,0.823529412,-1.37050167,,,,
0.470588235,2,4.218205223,9.153259703,0.941176471,-1.08512979,,,,
0.529411765,2,7.395230301,10.96112856,1.058823529,-0.616309686,,,,
0.588235294,2,13.87769388,13.62464126,1.176470588,-0.020036206,,,,
0.647058824,2,24.33042812,16.94108188,1.294117647,0.600891265,,,,
0.705882353,2,39.41826516,22.16664233,1.411764706,1.139892311,,,,
0.764705882,2,59.47440116,32.75358422,1.529411765,1.383778974,,,,
0.823529412,2,83.50548838,50.03406122,1.647058824,1.386151887,,,,
0.882352941,2,110.1865431,72.16241044,1.764705882,1.330829479,,,,
0.941176471,2,138.1925815,96.87045669,1.882352941,1.280492585,,,,
0,3,-2.451166189,1.05902929,0,-15.676475,,,,
0.058823529,3,0.712978822,0.506840931,0.176470588,-26.51265981,,,,
0.117647059,3,3.469634078,1.535216857,0.352941176,-6.957353205,,,,
0.176470588,3,5.411309823,2.315070375,0.529411765,-3.77499115,,,,
0.235294118,3,6.130516303,2.858205228,0.705882353,-2.806013935,,,,
0.294117647,3,5.460106798,3.732754217,0.882352941,-2.328193258,,,,
0.352941176,3,4.194306733,5.178360884,1.058823529,-1.922688181,,,,
0.411764706,3,3.36768457,6.707436288,1.235294118,-1.607618018,,,,
0.470588235,3,4.014808767,8.060290355,1.411764706,-1.257506962,,,,
0.529411765,3,7.09360669,9.806525001,1.588235294,-0.71963038,,,,
0.588235294,3,13.25544132,12.3712793,1.764705882,-0.072364277,,,,
0.647058824,3,23.07503452,15.52930402,1.941176471,0.574678332,,,,
0.705882353,3,37.1271082,20.43084001,2.117647059,1.124595376,,,,
0.764705882,3,55.69029713,30.22050832,2.294117647,1.374550576,,,,
0.823529412,3,77.85888783,46.10177468,2.470588235,1.381903588,,,,
