fl.arg,fl.vd,value,se,x,Z
0,2,-0.845810306,0.295186456,0,-2.865342526
0.058823529,2,-0.368793386,0.272981252,0.117647059,-1.350984302
0.117647059,2,-0.452007388,0.806282195,0.235294118,-0.560606932
0.176470588,2,-0.696530527,1.235399548,0.352941176,-0.563809926
0.235294118,2,-0.946248959,2.022823045,0.470588235,-0.467786325
0.294117647,2,-1.23687893,2.812692873,0.588235294,-0.439749018
0.352941176,2,-1.865282336,3.756594002,0.705882353,-0.496535515
0.411764706,2,-2.30168322,4.817124192,0.823529412,-0.477812722
0.470588235,2,-2.349717731,5.889226046,0.941176471,-0.398985828
0.529411765,2,-2.231274213,6.940240731,1.058823529,-0.321498101
0.588235294,2,-1.989858488,7.949795891,1.176470588,-0.250303091
0.647058824,2,-1.534840334,8.904035804,1.294117647,-0.172375804
0.705882353,2,-0.809113209,9.809628956,1.411764706,-0.08248153
0.764705882,2,0.157383119,10.67916486,1.529411765,0.0147374
0.823529412,2,1.273768805,11.51680124,1.647058824,0.110600919
0.882352941,2,2.439926178,12.31940786,1.764705882,0.198055475
0.941176471,2,3.584273563,13.08586056,1.882352941,0.273904307
0,3,-0.845810306,0.295186456,0,-2.865342526
0.058823529,3,0.129469563,0.116364458,0.176470588,1.112621199
0.117647059,3,-0.085681136,0.550167073,0.352941176,-0.155736575
0.176470588,3,-0.285152626,0.721218905,0.529411765,-0.395375972
0.235294118,3,-0.426459045,1.348087094,0.705882353,-0.316343838
0.294117647,3,-0.319144428,1.757722176,0.882352941,-0.181567049
0.352941176,3,-0.953290451,2.281440202,1.058823529,-0.417845907
0.411764706,3,-1.762788359,3.047155336,1.235294118,-0.578502953
0.470588235,3,-1.709886358,3.841959264,1.411764706,-0.445055827
0.529411765,3,-1.500043903,4.619724994,1.588235294,-0.324704156
0.588235294,3,-1.445264999,5.39008528,1.764705882,-0.268133976
0.647058824,3,-1.308755316,6.083464497,1.941176471,-0.215133222
0.705882353,3,-0.825498215,6.687833367,2.117647059,-0.123432832
0.764705882,3,0.107905214,7.249143555,2.294117647,0.014885236
0.823529412,3,1.41504975,7.811147188,2.470588235,0.181157737
0.882352941,3,2.900240474,8.381223403,2.647058824,0.34604023
0.941176471,3,4.366421181,8.931434988,2.823529412,0.488882379
0,4,-0.845810306,0.295186456,0,-2.865342526
0.058823529,4,0.406428372,0.225340617,0.235294118,1.803617908
0.117647059,4,0.038441609,0.443227561,0.470588235,0.086731089
0.176470588,4,-0.150602897,0.525621958,0.705882353,-0.286523222
0.235294118,4,-0.224024083,1.081727282,0.941176471,-0.207098487
