fl.arg,fl.vd,value,se,x,Z
0,2,-1.017991949,0.267337454,0,-3.807891243
0.058823529,2,-0.560479038,0.320734971,0.117647059,-1.747483402
0.117647059,2,-1.325399994,1.151941163,0.235294118,-1.150579593
0.176470588,2,-1.500058204,1.665488384,0.352941176,-0.90067167
0.235294118,2,-2.028610272,2.751160613,0.470588235,-0.737365264
0.294117647,2,-2.499499834,3.880298202,0.588235294,-0.644151481
0.352941176,2,-3.192746356,5.213443899,0.705882353,-0.61240639
0.411764706,2,-3.729314246,6.721247933,0.823529412,-0.554854438
0.470588235,2,-3.987421378,8.282564828,0.941176471,-0.481423504
0.529411765,2,-4.069729428,9.831244874,1.058823529,-0.413958708
0.588235294,2,-3.832648477,11.32091846,1.176470588,-0.338545719
0.647058824,2,-3.008048122,12.73454888,1.294117647,-0.236211596
0.705882353,2,-1.445418393,14.10120496,1.411764706,-0.102503183
0.764705882,2,0.781614935,15.45749727,1.529411765,0.050565426
0.823529412,2,3.436034396,16.81206094,1.647058824,0.20437913
0.882352941,2,6.256727426,18.14852381,1.764705882,0.344751314
0.941176471,2,9.056776524,19.45007872,1.882352941,0.465642153
0,3,-1.017991949,0.267337454,0,-3.807891243
0.058823529,3,0.314891117,0.178747059,0.176470588,1.761657609
0.117647059,3,-0.632680698,0.787574819,0.352941176,-0.803327738
0.176470588,3,-0.566448064,0.957474351,0.529411765,-0.591606515
0.235294118,3,-1.044370935,1.838049606,0.705882353,-0.568195184
0.294117647,3,-1.110174678,2.460738504,0.882352941,-0.45115508
0.352941176,3,-1.707428947,3.211881825,1.058823529,-0.531597686
0.411764706,3,-2.382804081,4.256599229,1.235294118,-0.559790563
0.470588235,3,-2.475779029,5.408135175,1.411764706,-0.457787934
0.529411765,3,-2.616554012,6.570963931,1.588235294,-0.398199418
0.588235294,3,-2.91328725,7.723244958,1.764705882,-0.377210261
0.647058824,3,-2.887536528,8.741280168,1.941176471,-0.330333369
0.705882353,3,-1.955767341,9.626773319,2.117647059,-0.203159177
0.764705882,3,0.194264365,10.5050152,2.294117647,0.018492535
0.823529412,3,3.363299414,11.49163744,2.470588235,0.292673645
0.882352941,3,7.002324814,12.58859612,2.647058824,0.556243504
0.941176471,3,10.60645685,13.70366204,2.823529412,0.773987042
0,4,-1.017991949,0.267337454,0,-3.807891243
0.058823529,4,0.786844362,0.321869242,0.235294118,2.444608742
0.117647059,4,-0.311188742,0.617330511,0.470588235,-0.50408774
0.176470588,4,-0.183991242,0.684914354,0.705882353,-0.268633942
0.235294118,4,-0.643841157,1.482777832,0.941176471,-0.434212829
0.294117647,4,-0.463021059,1.837305996,1.176470588,-0.252010857
0.352941176,4,-0.917636149,2.207437145,1.411764706,-0.415702051
0.411764706,4,-1.788133973,2.963365825,1.647058824,-0.603413172
0.470588235,4,-1.637838618,3.901760967,1.882352941,-0.419769082
0.529411765,4,-1.644597962,4.812287136,2.117647059,-0.341749758
0.588235294,4,-2.195065634,5.821507868,2.352941176,-0.377061353
0.647058824,4,-2.731904356,6.668049653,2.588235294,-0.409700662
0.705882353,4,-2.442908456,7.272551075,2.823529412,-0.335908051
0.764705882,4,-0.588359817,7.808466278,3.058823529,-0.075348961
0.823529412,4,2.874143357,8.524162587,3.294117647,0.337176037
0.882352941,4,7.16800421,9.538855516,3.529411765,0.751453274
0.941176471,4,11.38136801,10.68468293,3.764705882,1.065204095
0,5,-1.017991949,0.267337454,0,-3.807891243
0.058823529,5,1.066085578,0.427395545,0.294117647,2.49437691
0.117647059,5,-0.142428355,0.580893483,0.588235294,-0.245188419
0.176470588,5,-0.030119752,0.53271993,0.882352941,-0.056539564
0.235294118,5,-0.409832832,1.291447331,1.176470588,-0.317343822
0.294117647,5,-0.111775533,1.519582694,1.470588235,-0.073556729
0.352941176,5,-0.422633568,1.618470516,1.764705882,-0.261131459
0.411764706,5,-1.465525705,2.147821056,2.058823529,-0.68233138
0.470588235,5,-1.09490731,2.978892187,2.352941176,-0.367555199
0.529411765,5,-0.969371148,3.677908738,2.647058824,-0.263565851
0.588235294,5,-1.653634877,4.616382684,2.941176471,-0.358210094
0.647058824,5,-2.534239607,5.379073381,3.235294118,-0.471129399
0.705882353,5,-2.743323333,5.817587819,3.529411765,-0.471556841
0.764705882,5,-1.21979625,6.110304083,3.823529412,-0.199629386
0.823529412,5,2.403800091,6.599030134,4.117647059,0.364265664
0.882352941,5,7.203870748,7.558837853,4.411764706,0.95303946
0.941176471,5,11.87740268,8.82755472,4.705882353,1.345491822
0,6,-1.017991949,0.267337454,0,-3.807891243
0.058823529,6,1.24540165,0.498497234,0.352941176,2.498312059
0.117647059,6,-0.040336007,0.602766578,0.705882353,-0.066918122
0.176470588,6,0.03112396,0.47477574,1.058823529,0.065555077
0.235294118,6,-0.222350301,1.165247459,1.411764706,-0.190818096
0.294117647,6,0.098050628,1.343798051,1.764705882,0.0729653
0.352941176,6,-0.092930191,1.260994462,2.117647059,-0.073695955
0.411764706,6,-1.252530396,1.588197612,2.470588235,-0.78864896
0.470588235,6,-0.707646374,2.379424931,2.823529412,-0.297402269
0.529411765,6,-0.489269391,2.881002523,3.176470588,-0.169826089
0.588235294,6,-1.254695507,3.782512549,3.529411765,-0.331709542
0.647058824,6,-2.33793322,4.492202543,3.882352941,-0.520442522
0.705882353,6,-2.902628216,4.83540511,4.235294118,-0.60028646
0.764705882,6,-1.680228736,4.959108531,4.588235294,-0.33881669
0.823529412,6,2.029226137,5.266724119,4.941176471,0.385291899
0.882352941,6,7.199247973,6.163067983,5.294117647,1.168127302
0.941176471,6,12.21375232,7.583136062,5.647058824,1.610646601
0,7,-1.017991949,0.267337454,0,-3.807891243
0.058823529,7,1.36861753,0.548496155,0.411764706,2.495218094
0.117647059,7,0.031583445,0.640713568,0.823529412,0.049294173
0.176470588,7,0.063569804,0.475675605,1.235294118,0.133641085
0.235294118,7,-0.091464421,1.134872695,1.647058824,-0.080594433
0.294117647,7,0.231605422,1.235298524,2.058823529,0.187489435
0.352941176,7,0.130815206,1.051666261,2.470588235,0.124388516
0.411764706,7,-1.085780965,1.190053956,2.882352941,-0.91237961
0.470588235,7,-0.416313772,1.985652349,3.294117647,-0.209660957
0.529411765,7,-0.140141578,2.295843645,3.705882353,-0.061041429
0.588235294,7,-0.959243184,3.179190182,4.117647059,-0.301725637
0.647058824,7,-2.160884087,3.843330878,4.529411765,-0.562242533
0.705882353,7,-2.972530943,4.137234183,4.941176471,-0.718482641
0.764705882,7,-2.0042784,4.143191995,5.352941176,-0.483752238
0.823529412,7,1.750189724,4.314317559,5.764705882,0.405670121
0.882352941,7,7.18065733,5.148475146,6.176470588,1.394715353
0.941176471,7,12.43625755,6.700936713,6.588235294,1.855898374
0,8,-1.017991949,0.267337454,0,-3.807891243
0.058823529,8,1.457613287,0.585123815,0.470588235,2.4911194
0.117647059,8,0.086697553,0.678039393,0.941176471,0.127865068
0.176470588,8,0.084202715,0.497826378,1.411764706,0.169140727
0.235294118,8,-0.004392534,1.147052033,1.882352941,-0.003829411
0.294117647,8,0.319361996,1.158129809,2.352941176,0.275756649
0.352941176,8,0.280490941,0.940481573,2.823529412,0.298241826
0.411764706,8,-0.937643691,0.906442849,3.294117647,-1.03442119
0.470588235,8,-0.190471333,1.730224113,3.764705882,-0.110084776
0.529411765,8,0.119193539,1.856294338,4.235294118,0.064210474
0.588235294,8,-0.736532225,2.732910475,4.705882353,-0.269504703
0.647058824,8,-2.007158405,3.350093709,5.176470588,-0.599135003
0.705882353,8,-2.988831816,3.625788051,5.647058824,-0.824326125
0.764705882,8,-2.228115449,3.548307738,6.117647059,-0.627937488
0.823529412,8,1.548967742,3.621226389,6.588235294,0.427746729
0.882352941,8,7.161240978,4.413459499,7.058823529,1.622591298
0.941176471,8,12.56638667,6.044502711,7.529411765,2.078977753
0,9,-1.017991949,0.267337454,0,-3.807891243
0.058823529,9,1.524333864,0.612859304,0.529411765,2.487249283
0.117647059,9,0.131124616,0.710065402,1.058823529,0.184665548
0.176470588,9,0.097978162,0.523156313,1.588235294,0.187282767
0.235294118,9,0.050043503,1.166942461,2.117647059,0.042884294
0.294117647,9,0.376327852,1.097139388,2.647058824,0.343008241
0.352941176,9,0.373465032,0.895938521,3.176470588,0.416842253
0.411764706,9,-0.792447541,0.714330699,3.705882353,-1.109356692
0.470588235,9,-0.01210152,1.568099663,4.235294118,-0.007717315
0.529411765,9,0.315431039,1.523108113,4.764705882,0.207096946
0.588235294,9,-0.564913865,2.399215146,5.294117647,-0.235457777
0.647058824,9,-1.875527757,2.965834293,5.823529412,-0.632377797
0.705882353,9,-2.974067919,3.244648962,6.352941176,-0.91660699
0.764705882,9,-2.380018708,3.10678184,6.882352941,-0.766072042
0.823529412,9,1.406883945,3.112784249,7.411764706,0.45196963
0.882352941,9,7.147243313,3.891228304,7.941176471,1.836757639
0.941176471,9,12.61295412,5.544765559,8.470588235,2.274749759
0,10,-1.017991949,0.267337454,0,-3.807891243
0.058823529,10,1.57577564,0.634411711,0.588235294,2.483837568
0.117647059,10,0.168272743,0.736117429,1.176470588,0.228594972
0.176470588,10,0.108759064,0.546506401,1.764705882,0.19900785
0.235294118,10,0.084521836,1.186422952,2.352941176,0.071240898
