fl.arg,fl.vd,value,se,x,Z,,,MEAN VALUE,0.90921491
0,2,-0.725625325,0.171324601,0,-9.542355943,,,,
0.058823529,2,-0.032503794,0.118847719,0.117647059,-7.923743132,,,,
0.117647059,2,0.598885205,0.219880854,0.235294118,-1.411354328,,,,
0.176470588,2,1.106809144,0.319909547,0.352941176,0.617656291,,,,
0.235294118,2,1.429535492,0.393126364,0.470588235,1.323545148,,,,
0.294117647,2,1.533236983,0.487907285,0.588235294,1.278976563,,,,
0.352941176,2,1.495707413,0.647965344,0.705882353,0.905129291,,,,
0.411764706,2,1.422645841,0.833300468,0.823529412,0.616141309,,,,
0.470588235,2,1.41975133,1.026679264,0.941176471,0.497269545,,,,
0.529411765,2,1.570557947,1.32276638,1.058823529,0.499969576,,,,
0.588235294,2,1.869939787,1.83701789,1.176470588,0.522980637,,,,
0.647058824,2,2.290605956,2.552265022,1.294117647,0.541241189,,,,
0.705882353,2,2.805265557,3.398781048,1.411764706,0.55786193,,,,
0.764705882,2,3.388396903,4.329904435,1.529411765,0.572571968,,,,
0.823529412,2,4.021555151,5.341430895,1.647058824,0.582679101,,,,
0.882352941,2,4.688064668,6.42671342,1.764705882,0.587991003,,,,
0.941176471,2,5.371249818,7.564834843,1.882352941,0.589839026,,,,
0,3,-0.691279492,0.14811534,0,-10.80573079,,,,
0.058823529,3,-0.063711393,0.10383668,0.176470588,-9.369775592,,,,
0.117647059,3,0.50784785,0.199312849,0.352941176,-2.013754516,,,,
0.176470588,3,0.967389381,0.289389924,0.529411765,0.201024211,,,,
0.235294118,3,1.258904345,0.352962197,0.705882353,0.99072747,,,,
0.294117647,3,1.352059533,0.435919584,0.882352941,1.015885841,,,,
0.352941176,3,1.319224331,0.582124841,1.058823529,0.704332305,,,,
0.411764706,3,1.258443774,0.755848877,1.235294118,0.462035182,,,,
0.470588235,3,1.267762894,0.943484247,1.411764706,0.38002531,,,,
0.529411765,3,1.424510913,1.23337575,1.588235294,0.417793129,,,,
0.588235294,3,1.723153808,1.725183816,1.764705882,0.47179831,,,,
0.647058824,3,2.137441741,2.400572464,1.941176471,0.511639102,,,,
0.705882353,3,2.641124875,3.19716766,2.117647059,0.541701299,,,,
0.764705882,3,3.20969729,4.073279448,2.294117647,0.564773991,,,,
0.823529412,3,3.825628728,5.024882063,2.470588235,0.580394463,,,,
0.882352941,3,4.473132849,6.045158645,2.647058824,0.589549102,,,,
0.941176471,3,5.136423311,7.114291187,2.823529412,0.59418545,,,,
0,4,-0.656933718,0.136009433,0,-11.51500073,,,,
0.058823529,4,-0.09491905,0.095277829,0.235294118,-10.53901062,,,,
0.117647059,4,0.416810439,0.180985279,0.470588235,-2.720688467,,,,
0.176470588,4,0.827969568,0.261078187,0.705882353,-0.311191959,,,,
0.235294118,4,1.088273158,0.31502181,0.941176471,0.568399241,,,,
0.294117647,4,1.170882059,0.385388079,1.176470588,0.678970299,,,,
0.352941176,4,1.142741245,0.517154561,1.411764706,0.451559868,,,,
0.411764706,4,1.094241718,0.679165287,1.647058824,0.272432531,,,,
0.470588235,4,1.11577448,0.861000126,1.882352941,0.239906446,,,,
0.529411765,4,1.278463905,1.144372571,2.117647059,0.322664939,,,,
0.588235294,4,1.576367849,1.613570859,2.352941176,0.41346362,,,,
0.647058824,4,1.984277537,2.24922457,2.588235294,0.477970298,,,,
0.705882353,4,2.476984196,2.995945852,2.823529412,0.523296907,,,,
0.764705882,4,3.030997673,3.816900695,3.058823529,0.555891505,,,,
0.823529412,4,3.629702297,4.708508444,3.294117647,0.577781123,,,,
0.882352941,4,4.258201019,5.663987721,3.529411765,0.591277062,,,,
0.941176471,4,4.901596791,6.664639899,3.764705882,0.599039386,,,,
0,5,-0.622588061,0.137959563,0,-11.10327566,,,,
0.058823529,5,-0.126126823,0.094931304,0.294117647,-10.90622145,,,,
0.117647059,5,0.325772915,0.165642704,0.588235294,-3.522292674,,,,
0.176470588,5,0.688549653,0.235770232,0.882352941,-0.935933874,,,,
0.235294118,5,0.917641891,0.280209147,1.176470588,0.030073577,,,,
0.294117647,5,0.989704539,0.336967924,1.470588235,0.238864098,,,,
0.352941176,5,0.96625815,0.453428321,1.764705882,0.125804118,,,,
0.411764706,5,0.930039687,0.60354213,2.058823529,0.034504115,,,,
0.470588235,5,0.963786114,0.77945229,2.352941176,0.070012128,,,,
0.529411765,5,1.132416948,1.055854613,2.647058824,0.211394586,,,,
0.588235294,5,1.429581932,1.502228171,2.941176471,0.346396734,,,,
0.647058824,5,1.831113359,2.098295813,3.235294118,0.439355763,,,,
0.705882353,5,2.312843525,2.7952001,3.529411765,0.502156724,,,,
0.764705882,5,2.852298049,3.560821304,3.823529412,0.545683954,,,,
0.823529412,5,3.43377585,4.392347864,4.117647059,0.574763413,,,,
0.882352941,5,4.043269168,5.283283703,4.411764706,0.593201945,,,,
