ID,Date,ID,Branch
1,1,12-Jun,1,10
2,2,12-Jun,2,6
3,3,12-Jun,3,7
4,4,12-Jun,4,4
5,5,12-Jun,5,2
6,6,12-Jun,6,2
7,7,12-Jun,7,3
8,8,12-Jun,8,3
9,9,12-Jun,9,2
10,10,12-Jun,10,2
11,11,12-Jun,11,1
12,12,12-Jun,12,3
13,13,12-Jun,13,4
14,14,12-Jun,14,1
15,15,12-Jun,15,7
16,16,12-Jun,16,1
17,17,12-Jun,17,4
18,18,12-Jun,18,7
19,19,12-Jun,19,8
20,20,12-Jun,20,1
21,21,12-Jun,21,1
22,22,12-Jun,22,2
23,23,12-Jun,23,2
24,24,12-Jun,24,2
25,25,,25,3
26,26,12-Jun,26,4
27,27,13-Jun,27,2
28,28,13-Jun,28,4
29,29,13-Jun,29,2
30,30,13-Jun,30,2
31,31,13-Jun,31,2
32,32,14-Jun,32,6
33,33,14-Jun,33,4
34,34,,34,4
35,35,15-Jun,35,3
36,36,14-Jun,36,3
37,37,16-Jun,37,3
38,38,17-Jun,38,3
39,39,18-Jun,39,7
40,40,20-Jun,40,2
