B.1.arg,B.1.vd,value,se,x,z,,
0,1,-0.141937716,0.215389651,0,-0.404494357,avg,0.45551041
0.166666667,1,-0.507867531,0.200363148,0.333333333,-0.652412606,std,1.476061367
0.333333333,1,-0.462731001,0.216814447,0.666666667,-0.621832509,,
0.5,1,0.144274418,0.36172496,1,-0.210585011,,
0.666666667,1,1.563900506,0.619116394,1.333333333,0.751214765,,
0.833333333,1,4.119888711,1.213185505,1.666666667,2.482902359,,
1,1,8.118090009,3.561071308,2,5.191692474,,
0,2,-0.141937716,0.215389651,0,-0.404494357,,
0.166666667,2,-0.285946778,0.121476574,0.5,-0.502060811,,
0.333333333,2,-0.21432792,0.127127752,1,-0.453538878,,
0.5,2,0.115310814,0.215269196,1.5,-0.230207916,,
0.666666667,2,0.813090539,0.342854684,2,0.242539372,,
0.833333333,2,2.06672545,0.608320998,2.5,1.091879764,,
1,2,4.166645629,1.935417123,3,2.514580273,,
0,3,-0.141937716,0.215389651,0,-0.404494357,,
0.166666667,3,-0.174986584,0.091606313,0.666666667,-0.426885037,,
0.333333333,3,-0.090126303,0.095801391,1.333333333,-0.369392012,,
0.5,3,0.100829117,0.163797577,2,-0.240019298,,
0.666666667,3,0.437685585,0.227815155,2.666666667,-0.011798304,,
0.833333333,3,1.040143828,0.327877768,3.333333333,0.396368471,,
1,3,2.190923439,1.172442592,4,1.176024173,,
0,4,-0.141937716,0.215389651,0,-0.404494357,,
0.166666667,4,-0.108410519,0.081229795,0.833333333,-0.381779608,,
0.333333333,4,-0.015605484,0.087683573,1.666666667,-0.318903994,,
0.5,4,0.092140151,0.149663052,2.5,-0.245906091,,
0.666666667,4,0.21244266,0.184449483,3.333333333,-0.164400878,,
0.833333333,4,0.424194956,0.2055228,4.166666667,-0.020938235,,
1,4,1.005490165,0.789153715,5,0.372890539,,
0,5,-0.141937716,0.215389651,0,-0.404494357,,
0.166666667,5,-0.064026493,0.07903549,1,-0.351709333,,
0.333333333,5,0.034074939,0.088434421,2,-0.285245399,,
0.5,5,0.086347461,0.149923096,3,-0.249830651,,
0.666666667,5,0.062280741,0.176253434,4,-0.266135906,,
0.833333333,5,0.013562496,0.192804972,5,-0.299142624,,
1,5,0.215201509,0.633288907,6,-0.162531752,,
0,7,-0.141937716,0.215389651,0,-0.404494357,,
0.166666667,7,-0.032323624,0.080054875,1.166666667,-0.33023057,,
0.333333333,7,0.069560881,0.092012213,2.333333333,-0.261203596,,
0.5,7,0.082209748,0.15497577,3.5,-0.252633961,,
0.666666667,7,-0.044977767,0.182601481,4.666666667,-0.33880378,,
0.833333333,7,-0.279746318,0.228876536,5.833333333,-0.497859986,,
1,7,-0.349290189,0.61611969,7,-0.544976111,,
0,8,-0.141937716,0.215389651,0,-0.404494357,,
0.166666667,8,-0.008546476,0.082197783,1.333333333,-0.3141215,,
0.333333333,8,0.096175301,0.096186651,2.666666667,-0.243172268,,
0.5,8,0.079106399,0.161198544,4,-0.254736486,,
0.666666667,8,-0.125421673,0.193526488,5.333333333,-0.393304702,,
0.833333333,8,-0.499727872,0.272194151,6.666666667,-0.646897969,,
1,8,-0.772658814,0.662109105,8,-0.831809279,,
