B.1.arg,B.1.vd,value,se,x,z,z,,,,,
0,6,-3.614117277,1.345082065,0,-3.063099242,-1.813099242,,,,avg,-1.454601017
0.166666667,6,-0.335775637,0.380568815,1,0.215242398,1.465242398,,,,sd,2.639840501
0.333333333,6,1.049150558,0.819445984,2,1.600168593,2.850168593,,,,,
0.5,6,0.540671136,0.713156328,3,1.091689171,2.341689171,,,,,
0.666666667,6,-1.861213714,1.025564304,4,-1.310195679,-0.060195679,,,,,
0.833333333,6,-6.156512075,2.823513023,5,-5.60549404,-4.35549404,,,,,
1,6,-12.34521078,5.587136014,6,-11.79419275,-10.54419275,,,,,
0,7,-3.614117277,1.345082065,0,-3.063099242,-1.813099242,,,,,
0.166666667,7,-0.561528638,0.346088013,1.166666667,-0.010510603,1.239489397,,,,,
0.333333333,7,0.868133211,0.694582024,2.333333333,1.419151246,2.669151246,,,,,
0.5,7,0.674875066,0.643340607,3.5,1.225893101,2.475893101,,,,,
0.666666667,7,-1.141299006,0.756725688,4.666666667,-0.590280971,0.659719029,,,,,
0.833333333,7,-4.580400102,2.181378789,5.833333333,-4.029382067,-2.779382067,,,,,
1,7,-9.642419472,4.462272739,7,-9.091401437,-7.841401437,,,,,
0,8,-3.614117277,1.345082065,0,-3.063099242,-1.813099242,,,,,
0.166666667,8,-0.730843528,0.349049939,1.333333333,-0.179825493,1.070174507,,,,,
0.333333333,8,0.732369883,0.607336498,2.666666667,1.283387918,2.533387918,,,,,
0.5,8,0.775527882,0.606619497,4,1.326545917,2.576545917,,,,,
0.666666667,8,-0.601363887,0.585312038,5.333333333,-0.050345852,1.199654148,,,,,
0.833333333,8,-3.398316303,1.709076254,6.666666667,-2.847298268,-1.597298268,,,,,
1,8,-7.615325988,3.624386517,8,-7.064307953,-5.814307953,,,,,
0,9,-3.614117277,1.345082065,0,-3.063099242,-1.813099242,,,,,
0.166666667,9,-0.862532969,0.368501608,1.5,-0.311514934,0.938485066,,,,,
0.333333333,9,0.626775898,0.545180242,3,1.177793933,2.427793933,,,,,
0.5,9,0.853813295,0.589224434,4.5,1.40483133,2.65483133,,,,,
0.666666667,9,-0.181415188,0.490192243,6,0.369602847,1.619602847,,,,,
0.833333333,9,-2.478918487,1.353247679,7.5,-1.927900452,-0.677900452,,,,,
1,9,-6.038697738,2.979102619,9,-5.487679703,-4.237679703,,,,,
0,10,-3.614117277,1.345082065,0,-3.063099242,-1.813099242,,,,,
0.166666667,10,-0.967884568,0.393375408,1.666666667,-0.416866533,0.833133467,,,,,
0.333333333,10,0.542300527,0.500440214,3.333333333,1.093318562,2.343318562,,,,,
0.5,10,0.916441462,0.583040582,5,1.467459497,2.717459497,,,,,
0.666666667,10,0.154543099,0.454660597,6.666666667,0.705561134,1.955561134,,,,,
0.833333333,10,-1.743401049,1.083241163,8.333333333,-1.192383014,0.057616986,,,,,
1,10,-4.777395337,2.470168738,10,-4.226377302,-2.976377302,,,,,
0,11,-3.614117277,1.345082065,0,-3.063099242,-1.813099242,,,,,
0.166666667,11,-1.054081359,0.418803687,1.833333333,-0.503063324,0.746936676,,,,,
0.333333333,11,0.473184204,0.468109527,3.666666667,1.024202239,2.274202239,,,,,
0.5,11,0.967682505,0.583280484,5.5,1.51870054,2.76870054,,,,,
0.666666667,11,0.429417541,0.459526471,7.333333333,0.980435576,2.230435576,,,,,
0.833333333,11,-1.141614792,0.881218149,9.166666667,-0.590596757,0.659403243,,,,,
