FD.arg,FD.vd,value,se,x,Z_Score
0,1,-8.10981362,2.103295778,0,-3.855764702
0.25,1,0.471904356,5.592513027,0.5,0.08438145
0.5,1,0.664949767,8.321390603,1,0.079908491
0.75,1,-9.672598499,12.67824741,1.5,-0.762928675
1,1,-20.48229438,24.02804252,2,-0.852432917
0,2,-8.10981362,2.103295778,0,-3.855764702
0.25,2,0.067207881,2.42511073,0.75,0.027713325
0.5,2,2.370264232,5.790305198,1.5,0.409350483
0.75,2,-3.734794591,6.626955157,2.25,-0.563576258
1,2,-14.10773382,14.22505581,3,-0.991752441
0,3,-8.10981362,2.103295778,0,-3.855764702
0.25,3,-0.688150257,0.976801256,1,-0.704493625
0.5,3,2.608144952,3.742586146,2,0.696883078
0.75,3,-0.238936709,2.71213463,3,-0.088099133
1,3,-9.410832663,8.000916106,4,-1.17621939
0,4,-8.10981362,2.103295778,0,-3.855764702
0.25,4,-1.673580268,0.841570503,1.25,-1.988639409
0.5,4,2.466043773,2.807958296,2.5,0.87823376
0.75,4,2.382362266,1.760383797,3.75,1.35331981
1,4,-5.115075162,4.865109548,5,-1.051379236
0,5,-8.10981362,2.103295778,0,-3.855764702
0.25,5,-1.313937715,0.396296487,1.5,-3.315542171
0.5,5,1.594710987,1.854552924,3,0.859889716
0.75,5,1.857656266,1.328243118,4.5,1.39858151
1,5,-1.594906778,3.756153754,6,-0.424611686
0,6,-8.10981362,2.103295778,0,-3.855764702
0.25,6,-0.892398206,0.741047153,1.75,-1.204239436
0.5,6,1.198365823,2.109294799,3.5,0.568135769
0.75,6,1.996465058,1.556989973,5.25,1.282259419
1,6,1.090988089,4.416468708,7,0.247027243
0,7,-8.10981362,2.103295778,0,-3.855764702
0.25,7,-0.850201761,1.115604453,2,-0.762099647
0.5,7,0.752869621,2.640947339,4,0.28507559
0.75,7,0.740889889,1.913129135,6,0.387266011
1,7,2.022791663,5.560241356,8,0.363795658
