FL.arg,FL.vd,value,se,x,Z_Score
0,1,2.542342354,1.735603731,0,1.464817291
0.25,1,2.00217532,3.383562378,0.5,0.591735897
0.5,1,-26.99749353,33.19541219,1,-0.813289902
0.75,1,-14.34312952,43.9644346,1.5,-0.326243921
1,1,-6.140955192,87.97414688,2,-0.069804089
0,2,2.542342354,1.735603731,0,1.464817291
0.25,2,7.860388037,6.422327916,0.75,1.223915711
0.5,2,-22.8249897,22.69123518,1.5,-1.005894545
0.75,2,-4.814042415,22.77099324,2.25,-0.211411174
1,2,2.704031327,49.72501657,3,0.054379697
0,3,2.542342354,1.735603731,0,1.464817291
0.25,3,6.716693206,2.863374021,1,2.34572681
0.5,3,-17.73821312,11.56031081,2,-1.534406248
0.75,3,1.32665966,7.471936895,3,0.177552311
1,3,5.864049986,23.18558682,4,0.252917902
0,4,2.542342354,1.735603731,0,1.464817291
0.25,4,2.215727112,1.347194185,1.25,1.644697651
0.5,4,-11.56145031,5.124461946,2.5,-2.256129606
0.75,4,4.988870027,3.60401349,3.75,1.384253982
1,4,4.531959223,9.310642949,5,0.486750405
0,5,2.542342354,1.735603731,0,1.464817291
0.25,5,-0.453165374,0.18113325,1.5,-2.501834275
0.5,5,-0.725036661,1.163090434,3,-0.62337084
0.75,5,1.266807676,1.616352566,4.5,0.78374465
1,5,-2.012818722,4.889641655,6,-0.411649537
0,6,2.542342354,1.735603731,0,1.464817291
0.25,6,-4.065347878,0.784579081,1.75,-5.181565475
0.5,6,6.965626885,1.475848323,3.5,4.719744419
0.75,6,-4.499663786,1.087624173,5.25,-4.137149486
1,6,13.73993964,3.392204437,7,4.050445631
0,7,2.542342354,1.735603731,0,1.464817291
0.25,7,-6.433552664,2.091497895,2,-3.076050269
0.5,7,9.558445413,3.917629719,4,2.439854222
0.75,7,-8.466083171,3.293613994,6,-2.570453971
1,7,21.9225313,8.65492654,8,2.532954058
