banner.arg,banner.vd,value,se,x,Z_Score
0,1,-0.913483774408796,0.248097785390131,0,-3.68195053806044
0.25,1,-0.598620095714301,0.436466465156635,0.25,-1.3715145228843
0.5,1,-2.09978861616257,0.993817904614134,0.5,-2.11285045923765
0.75,1,0.214417024362085,0.60362750002908,0.75,0.355214141754236
1,1,0.840103407996402,1.37499012598959,1,0.610988684294567
0,2,-0.913483774408796,0.248097785390131,0,-3.68195053806044
0.25,2,0.0180851795738116,0.213097952652233,0.5,0.0848679180101083
0.5,2,-1.05007762169946,0.324343512914685,1,-3.2375477846405
0.75,2,-0.823467320347168,0.307877245297808,1.5,-2.67466119345921
1,2,-0.481807247542544,0.983491400862385,2,-0.489894723146604
0,3,-0.913483774408796,0.248097785390131,0,-3.68195053806044
0.25,3,0.16375243666889,0.161801128877485,0.75,1.01205991456884
0.5,3,-0.562404236706149,0.28914451103776,1.5,-1.94506281543316
0.75,3,-0.765428567759554,0.224087565252855,2.25,-3.41575654541948
1,3,0.162830966943504,0.723511789960748,3,0.225056411247062
0,4,-0.913483774408796,0.248097785390131,0,-3.68195053806044
0.25,4,0.0981887937483257,0.135921710272695,1,0.722392276784427
0.5,4,-0.604114130037099,0.240764696157811,2,-2.50914747750695
0.75,4,-1.09684225186566,0.24257262057272,3,-4.52170673374425
1,4,0.0346640763527324,0.736382144035327,4,0.0470734884509495
0,5,-0.913483774408796,0.248097785390131,0,-3.68195053806044
0.25,5,0.148907199982852,0.0988392360592696,1.25,1.50655960041576
0.5,5,-0.484944715339518,0.201534690294833,2.5,-2.40625926300864
0.75,5,-0.83817632952186,0.267474893971716,3.75,-3.13366356399226
1,5,0.216745488025422,0.743207532373586,5,0.29163521437034
0,6,-0.913483774408796,0.248097785390131,0,-3.68195053806044
0.25,6,0.195570948885293,0.0813062869055064,1.5,2.40536072090691
0.5,6,-0.383376652614582,0.19897654824386,3,-1.9267429051223
0.75,6,-0.559466022057485,0.28603488699611,4.5,-1.9559363122901
1,6,0.415496547027843,0.782531491961175,6,0.530964633751069
0,7,-0.913483774408796,0.248097785390131,0,-3.68195053806044
0.25,7,0.219317999213492,0.0771900879384651,1.75,2.84127152942654
0.5,7,-0.326223916931686,0.203381401896726,3.5,-1.60400072911946
0.75,7,-0.349824267638336,0.274318488316833,5.25,-1.27524859802485
1,7,0.572140580767178,0.821807677456574,7,0.696197658481246
0,8,-0.913483774408796,0.248097785390131,0,-3.68195053806044
0.25,8,0.230234937022537,0.0926576719634326,2,2.48479086667966
0.5,8,-0.279017241253455,0.229641335126205,4,-1.21501314691501
0.75,8,-0.191552190680406,0.262821109574119,6,-0.728831070650304
1,8,0.687996871563003,0.855730234707659,8,0.803988036951904
0,9,-0.913483774408796,0.248097785390131,0,-3.68195053806044
0.25,9,0.236173594347571,0.112944927882111,2.25,2.09105091106069
0.5,9,-0.246361440381629,0.256060393537791,4.5,-0.962122400023843
0.75,9,-0.0957063053981182,0.275009665337339,6.75,-0.348010697299387
1,9,0.768367843368591,0.884324992688604,9,0.868874960813366
0,10,-0.913483774408796,0.248097785390131,0,-3.68195053806044
0.25,10,0.24034336728456,0.131427519046423,2.5,1.82871417666848
0.5,10,-0.220735448897998,0.281466517677439,5,-0.784233416888902
0.75,10,-0.028340481085192,0.300300806036431,7.5,-0.0943736430789132
1,10,0.829186367841395,0.90466705452709,10,0.916565231033917
