PlantID,Branch,PosSeq,Bpos,Pos,FL,FD,B,Date,flw_date,FlwFate,seeds,aborted,unfert,Notes,flw_vol
1,3,10,1-Mar,1,10.93,3.03,6.84,15-Jun,4,0,0,,,,26.27082302
1,3,11,2-Mar,2,8.92,3.05,6.23,15-Jun,4,0,0,,,,21.72364979
1,3,12,3-Mar,3,8.19,3.12,5.39,16-Jun,5,0,0,,,,20.87186945
1,3,13,4-Mar,4,8.15,2.84,5.6,16-Jun,5,0,0,,,,17.20927397
2,3,9,1-Mar,1,11.62,3.44,6.45,13-Jun,2,0,0,,,,35.99906931
2,3,10,2-Mar,2,11.44,3.21,5.78,13-Jun,2,1,7,0,1,,30.86059883
2,3,11,3-Mar,3,10.77,3.87,5.21,13-Jun,2,0,0,,,,42.22852315
2,3,12,4-Mar,4,11.31,3.33,6.39,14-Jun,3,0,0,,,,32.83366265
2,3,13,5-Mar,5,10.64,3.28,5.42,14-Jun,3,0,0,,,,29.96798725
3,3,11,1-Mar,1,11.84,2.85,5.55,13-Jun,2,0,0,,,,25.17733058
3,3,12,2-Mar,2,10.79,3.09,6.76,14-Jun,3,0,0,,,,26.97159708
3,3,13,3-Mar,3,10.61,3.02,6.85,15-Jun,4,0,0,,,,25.3336362
3,3,14,4-Mar,4,10.47,3.12,6.98,15-Jun,4,0,0,,,,26.68235325
3,3,15,5-Mar,5,10.18,3.07,5.32,14-Jun,3,0,0,,,,25.11844723
3,3,16,6-Mar,6,9.26,2.88,5.54,14-Jun,3,0,0,,,,20.10778449
3,3,17,7-Mar,7,9.78,3,4.58,15-Jun,4,0,0,,,,23.04356265
4,3,13,1-Mar,1,9.65,3.05,4.95,14-Jun,3,0,0,,,,23.50148212
4,3,14,2-Mar,2,9.86,2.86,4.81,14-Jun,3,0,0,,,,21.11432689
4,3,15,3-Mar,3,9.53,3.14,5.81,15-Jun,4,0,0,,,,24.59917016
4,3,16,4-Mar,4,8.21,3.17,5.98,15-Jun,4,0,0,,,,21.59881583
4,3,17,5-Mar,5,9.12,2.28,5.31,15-Jun,4,0,0,,,,12.41174351
4,3,18,6-Mar,6,8.23,2.37,5.47,15-Jun,4,0,0,,,,12.10221285
7,3,13,1-Mar,1,9.41,2.51,4.89,14-Jun,3,0,0,,,,15.52048635
7,3,14,2-Mar,2,8.96,2.32,4.82,14-Jun,3,0,0,,,,12.6256062
7,3,15,3-Mar,3,8.85,2.64,5.6,14-Jun,3,0,0,,,,16.14802393
7,3,16,4-Mar,4,8.76,2.67,5.7,15-Jun,4,0,0,,,pierced tube,16.34913909
7,3,17,5-Mar,5,7.38,2.79,4.4,15-Jun,4,1,0,2,4,pierced tube,15.03948719
7,3,18,6-Mar,6,7.24,2.69,3.99,15-Jun,4,1,2,2,3,,13.71549184
8,3,13,1-Mar,1,9.84,3.34,8.66,13-Jun,2,0,0,,,pierced tube,28.73798355
8,3,14,2-Mar,2,7.98,2.71,6.6,14-Jun,3,0,0,,,pierced tube,15.34298049
8,3,15,3-Mar,3,7.75,2.37,4.58,14-Jun,3,0,0,,,,11.39637298
8,3,16,4-Mar,4,7.63,2.82,4.29,15-Jun,4,0,0,,,,15.88513882
8,3,17,5-Mar,5,5.12,2.19,3.88,16-Jun,5,0,0,,,,6.428748714
32,3,9,1-Mar,1,8.89,2.86,5.06,16-Jun,5,0,0,,,,19.0371568
32,3,10,2-Mar,2,9,2.88,4.29,16-Jun,5,0,0,,,,19.54320307
32,3,11,3-Mar,3,8.62,2.24,4.16,16-Jun,5,0,0,,,,11.32326216
32,3,12,4-Mar,4,8.92,2.84,5.06,17-Jun,6,0,0,,,,18.83518084
32,3,13,5-Mar,5,8.21,2.19,4.99,17-Jun,6,0,0,,,,10.30859901
32,3,14,6-Mar,6,8.12,2.08,3.95,17-Jun,6,0,0,,,,9.197101067
12,3,13,1-Mar,1,11.44,2.93,8.73,13-Jun,2,0,0,,,,25.71162498
12,3,16,4-Mar,4,10.41,3.29,5.86,15-Jun,4,0,0,,,,29.49923715
12,3,18,6-Mar,6,9.2,2.94,5.95,15-Jun,4,0,0,,,,20.81856295
13,3,11,1-Mar,1,8.24,3.01,6.51,13-Jun,2,0,0,,,,19.54467543
13,3,12,2-Mar,2,8.05,3.24,6.53,13-Jun,2,1,0,,,,22.1235166
13,3,13,3-Mar,3,8.97,3.54,5.27,14-Jun,3,0,0,,,,29.42843906
13,3,14,4-Mar,4,9.02,3.29,5.75,14-Jun,3,0,0,,,,25.56033805
13,3,15,5-Mar,5,9.13,3.03,6.06,15-Jun,4,0,0,,,,21.94442948
13,3,16,6-Mar,6,8.4,3.05,4.8,15-Jun,4,0,0,,,,20.45724868
15,3,13,1-Mar,1,9.48,3.11,5.36,14-Jun,3,1,0,,,,24.00476038
15,3,14,2-Mar,2,9,3.14,5.97,14-Jun,3,0,0,,,,23.23111557
15,3,15,3-Mar,3,7.16,3.67,5.49,14-Jun,3,1,0,,,,25.24721106
15,3,16,4-Mar,4,8.12,2.98,4.23,15-Jun,4,1,5,1,0,,18.87803632
15,3,17,5-Mar,5,8.04,2.96,5.15,15-Jun,4,1,8,0,0,,18.44198781
15,3,18,6-Mar,6,7.95,2.9,4.89,15-Jun,4,0,9,1,0,,17.50376138
17,3,11,1-Mar,1,9.8,2.28,4.01,19-Jun,8,0,0,,,,13.33718052
17,3,12,2-Mar,2,8.41,2.29,4.02,21-Jun,10,0,0,,,,11.54609749
17,3,13,3-Mar,3,7.34,2.16,3.65,22-Jun,10,0,0,,,,8.965444409
17,3,14,4-Mar,4,7.13,2.24,3.29,23-Jun,11,0,0,,,,9.365992945
18,3,15,1-Mar,1,8.39,2.85,4.57,15-Jun,4,0,0,,,,17.84103071
