Branch,Pos,response,SE,df,lower.CL,upper.CL
1,1,7.687246409,0.250640443,445,7.224323751,8.213557523
2,1,6.884227828,0.218156453,445,6.480619391,7.341448071
3,1,5.599647954,0.166025445,445,5.29132272,5.946128716
4,1,4.441583649,0.134916486,445,4.19136833,4.723570231
5,1,4.192320788,0.145502239,445,3.92462345,4.499210533
6,1,4.029728745,0.152241399,445,3.75120714,4.352927175
7,1,3.829332917,0.15518191,445,3.546850308,4.160704887
1,2,7.270383076,0.238218638,445,6.830533709,7.770779156
2,2,6.548003055,0.203158734,445,6.171679928,6.973199479
3,2,5.375147755,0.15690524,445,5.083511354,5.70228249
4,2,4.29915843,0.12886832,445,4.059982345,4.568278561
5,2,4.065204131,0.138172743,445,3.810655591,4.356194183
6,2,3.912142616,0.145240556,445,3.646110573,4.220051229
7,2,3.72299666,0.147532305,445,3.453999529,4.037431405
1,3,6.742759553,0.223387703,445,6.330571503,7.212361589
2,3,6.116910817,0.187605587,445,5.769168357,6.509263246
3,3,5.081189935,0.149683481,445,4.803114712,5.393442022
4,3,4.109027957,0.122958659,445,3.880798348,4.365779278
5,3,3.894793766,0.129272117,445,3.656291712,4.16658238
6,3,3.754073637,0.135674779,445,3.50511377,4.041103582
7,3,3.579562759,0.138644364,445,3.326357864,3.874492046
1,4,6.608634346,0.218696712,445,6.205074087,7.068338876
2,4,6.006324361,0.186642341,445,5.660626433,6.396992625
3,4,5.004647907,0.146167984,445,4.732976479,5.309406229
4,4,4.058828296,0.120276244,445,3.835457086,4.309826035
5,4,3.849663464,0.126999653,445,3.615267011,4.116561426
6,4,3.712128006,0.133967459,445,3.46627777,3.995515083
7,4,3.541406415,0.136176067,445,3.292582258,3.83091282
1,5,5.989092824,0.207496672,445,5.607294228,6.426683321
2,5,5.490156286,0.174068282,445,5.168124463,5.854987329
3,5,4.641076355,0.139508387,445,4.382193075,4.932467769
4,5,3.81636383,0.113001177,445,3.606494325,4.052168026
5,5,3.630871534,0.118214737,445,3.412514997,3.879082305
6,5,3.508276284,0.124200312,445,3.280062482,3.770621228
7,5,3.355404139,0.126091693,445,3.124637922,3.62297437
1,6,6.117769062,0.25172325,445,5.660067151,6.656007816
2,6,5.598092963,0.20720672,445,5.218481947,6.037265197
3,6,4.717974981,0.15915178,445,4.424639466,5.052965975
4,6,3.868208471,0.126488292,445,3.634630635,4.13386967
5,6,3.677767926,0.130228013,445,3.438481699,3.952849339
6,6,3.552040171,0.136776589,445,3.302143361,3.842856623
7,6,3.395415376,0.134425914,445,3.150298778,3.681894026
1,7,5.52128337,0.266249855,445,5.043317846,6.099329251
2,7,5.094469466,0.22608804,445,4.685781762,5.581259564
3,7,4.355128033,0.176174525,445,4.034389665,4.731269072
4,7,3.620871041,0.133239618,445,3.376674027,3.903141554
5,7,3.453478892,0.133950394,445,3.208871066,3.738456269
6,7,3.342386964,0.136211366,445,3.094539996,3.63339146
7,7,3.203343685,0.134316324,445,2.959467326,3.491023162
1,8,5.087162323,0.486971197,445,4.281653833,6.265983124
2,8,4.722612052,0.420523681,445,4.019242884,5.724381118
3,8,4.080461692,0.318530511,445,3.537716861,4.819917508
4,8,3.42897225,0.232298882,445,3.026075471,3.955631711
5,8,3.27848411,0.217963434,445,2.899620718,3.771231903
6,8,3.178201981,0.209930451,445,2.813028697,3.652329025
7,8,3.052225953,0.198767381,445,2.705909875,3.500199209
