"Branch","Pos","response","SE","df","lower.CL","upper.CL"
"1","1","1",3.79158936280321,0.103197194393448,445,3.59907279304364,4.00586552037094
"2","2","1",3.32812721695261,0.0867647033814445,445,3.16591864234404,3.50785520660671
"3","3","1",3.0001280251429,0.0770652398713252,445,2.85594963211224,3.15963765903732
"4","4","1",2.79258112933047,0.0766463664162459,445,2.64965676119515,2.95180350762709
"5","5","1",2.68300851639703,0.0836091570351216,445,2.52817337432424,2.85804635937011
"6","6","1",2.57710256947825,0.0865627190230957,445,2.41751493355036,2.75924913683663
"7","7","1",2.51528491199426,0.0906966547670606,445,2.34883359944137,2.70712686267414
"8","1","2",3.64419180497987,0.0999808864510771,445,3.45775124758552,3.85188383295189
"9","2","2",3.21401920198287,0.082560894960489,445,3.05955932192348,3.38490389298274
"10","3","2",2.907088848666,0.0739020004254277,445,2.76875959680412,3.05996703694619
"11","4","2",2.71179615267878,0.0738924956823919,445,2.57395613316781,2.86523466593336
"12","5","2",2.60835395624647,0.079926602423988,445,2.46019585634196,2.77550034689683
"13","6","2",2.50814961062128,0.0832516741408282,445,2.35455390783553,2.68318292168157
"14","7","2",2.44955808125313,0.0866395809129923,445,2.29035128967781,2.63255190604584
"15","1","3",3.48443775082951,0.0975598269288558,445,3.3027027056522,3.68733778727788
"16","2","3",3.08910851898089,0.0792155194125484,445,2.9408950976347,3.25305392901284
"17","3","3",2.8045155987341,0.0726955202618452,445,2.66857174931778,2.95505356218892
"18","4","3",2.62232928828526,0.0724412275116041,445,2.48729125377697,2.77287183618053
"19","5","3",2.52547808993636,0.0764416201191957,445,2.38368162101609,2.68521146216273
"20","6","3",2.43142541546372,0.0794391569324591,445,2.28472272902933,2.59826044657057
"21","7","3",2.37632430935161,0.0831769485378524,445,2.22337718767652,2.55186849664396
"22","1","4",3.39647594758879,0.0946045336483372,445,3.22019842851522,3.59317039906973
"23","2","4",3.01977540925973,0.078098473775695,445,2.87371180765285,3.18148221270406
"24","3","4",2.74725063209147,0.0703366319332906,445,2.61563966191063,2.89280785621825
"25","4","4",2.57219623065194,0.0700160060632643,445,2.44158058854759,2.71757665401236
"26","5","4",2.47894694831764,0.0742734119037746,445,2.34109405243136,2.63405026715265
"27","6","4",2.38826590589467,0.0777098679990584,445,2.24472132085652,2.55142335599318
"28","7","4",2.33508221074607,0.0807625847820381,445,2.18646104324004,2.50538148131983
"29","1","5",3.1859650825303,0.0935254672238492,445,3.01218446760923,3.38102505281425
"30","2","5",2.85221847936036,0.0755938558176385,445,2.71100847265028,3.00894741976064
"31","3","5",2.60787403616898,0.0691933476119086,445,2.47862722473776,2.75134139542678
"32","4","5",2.44961959272944,0.0674786792470781,445,2.32381393615268,2.58982652647497
"33","5","5",2.36489967288351,0.0709311068560703,445,2.23325788217151,2.51303311602649
"34","6","5",2.28223137692355,0.0738826799381775,445,2.14571466254756,2.4372995867567
"35","7","5",2.23361729485046,0.0765720049271772,445,2.09262859654383,2.39497636278128
"36","1","6",3.20634753564059,0.111245477060892,445,3.00167201867098,3.44097808989487
"37","2","6",2.8685433237133,0.0881468738603301,445,2.70517361518771,3.05291359927222
"38","3","6",2.62151496042825,0.0779951757974109,445,2.47669802627959,2.7843190419379
"39","4","6",2.46165137712527,0.0759399832491829,445,2.3209370858179,2.62052941924562
"40","5","6",2.37611170729007,0.0786356064398804,445,2.2310061504926,2.54140578378704
"41","6","6",2.29267151768266,0.0819368005294649,445,2.14220849142397,2.46586749116464
"42","7","6",2.24361642499222,0.0818333058712727,445,2.09354607391792,2.41686289296558
"43","1","7",2.97652266158614,0.122002228127128,445,2.7546253696959,3.2373016704516
"44","2","7",2.68319410957488,0.0992830580687101,445,2.50129957370928,2.89361804986784
"45","3","7",2.46584818844818,0.0886105038638059,445,2.3031887420707,2.65322871250403
"46","4","7",2.32389243071938,0.0823169813292116,445,2.17264334949557,2.49777567582711
"47","5","7",2.24751028111124,0.0835141525516842,445,2.09454955997192,2.42457186412565
"48","6","7",2.1727155255365,0.0839797515769675,445,2.01932162063739,2.35132979654276
"49","7","7",2.12861003792755,0.0845856201205412,445,1.9744152089421,2.3089292258617
"50","1","8",2.8365677328912,0.238181650578774,445,2.43477278546435,3.39718308333198
"51","2","8",2.56893494509655,0.195978815962371,445,2.23399354790464,3.02202553530643
"52","3","8",2.36901590836517,0.168854114460333,445,2.07793923435403,2.75492430814387
"53","4","8",2.23769338746266,0.153886095826036,445,1.97126813020581,2.58739015182515
"54","5","8",2.1667861133503,0.147011142107863,445,1.91185644678112,2.50016117131906
"55","6","8",2.09718450484755,0.140408777979531,445,1.85332479857898,2.41494150360855
"56","7","8",2.05606321230568,0.137154799096319,445,1.8177541389097,2.36628515649768
