"Branch","Pos","response","SE","df","lower.CL","upper.CL"
"1","1","1",10.769463873433,0.177374089569791,445,10.4317987650672,11.1297198705834
"2","2","1",10.3047438444014,0.16985161521943,445,9.98140704331997,10.6497302471757
"3","3","1",9.58976144684301,0.158049878498124,445,9.28888993421626,9.91077614629119
"4","4","1",9.35787385617863,0.16711417821764,445,9.04057884814761,9.69825102546145
"5","5","1",9.42361306612177,0.19321546053277,445,9.05859354386124,9.8192849417873
"6","6","1",8.80901702498301,0.191694246162068,445,8.44772985787943,9.20258746474556
"7","7","1",8.41422922805793,0.19590790477903,445,8.04605652179482,8.81771144014163
"8","1","2",10.1784377822084,0.167174282656928,445,9.86016222122688,10.5179459015561
"9","2","2",9.76234021996657,0.157067619876776,445,9.46311530926082,10.0811060774303
"10","3","2",9.11829283693693,0.147290727665395,445,8.83772790407961,9.41725561539191
"11","4","2",8.90839615412228,0.156300499853556,445,8.61145640145862,9.22654536980981
"12","5","2",8.96795175808389,0.17837327685711,445,8.63058099002488,9.33277125398035
"13","6","2",8.409593274976,0.178578862033337,445,8.07269075053885,8.7758407886126
"14","7","2",8.04906259471478,0.181318597575938,445,7.70782281015683,8.42191665421148
"15","1","3",9.817741228583,0.164489213960434,445,9.50477423358044,10.152020319764
"16","2","3",9.43005025085313,0.151689448299301,445,9.14106927380824,9.7378990932636
"17","3","3",8.82774826818673,0.145765713287497,445,8.55027792981024,9.12383134179919
"18","4","3",8.63087033117334,0.154210526923008,445,8.338080230479,8.94497129615764
"19","5","3",8.68676138937958,0.171144008721307,445,8.36294850819719,9.03666035416212
"20","6","3",8.16184390317075,0.171039192591227,445,7.83899548874498,8.51242756483599
"21","7","3",7.82181355844938,0.174929337883173,445,7.49249765938567,8.18140900785952
"22","1","4",9.50431337942353,0.157870182960914,445,9.20385787918351,9.82504730891616
"23","2","4",9.14052244423268,0.147753409989146,445,8.85908225286435,9.44043124987742
"24","3","4",8.57352538928804,0.139274909906877,445,8.30827549057748,8.85627057207108
"25","4","4",8.38770427241952,0.146914972630188,445,8.10857935351978,8.68673114515306
"26","5","4",8.44048071830335,0.16370424181746,445,8.13056447509062,8.77495965119583
"27","6","4",7.94405498389045,0.165002183388529,445,7.63249279745462,8.28213592898535
"28","7","4",7.62157062803077,0.167435186134608,445,7.3061279755129,7.96548089493266
"29","1","5",9.04594127851365,0.158088130592824,445,8.74556591644131,9.36768391644773
"30","2","5",8.7157844004595,0.144476683333217,445,8.44080139368219,9.00928745028298
"31","3","5",8.19876676613213,0.138340207760187,445,7.93561201935065,8.47997320568777
"32","4","5",8.02867437208819,0.142949803036438,445,7.75723215351533,8.31980212249245
"33","5","5",8.0770163767239,0.157844214823078,445,7.77827731106316,8.39961922285443
"34","6","5",7.62127004949101,0.15844806785851,445,7.32209468559057,7.94593506926391
"35","7","5",7.32396943616553,0.160357820789448,445,7.02181838792691,7.6532930366561
"36","1","6",8.76016137406492,0.177726066629792,445,8.42426751611286,9.12395322204024
"37","2","6",8.45017822786493,0.161064564662488,445,8.14506598717378,8.7790389452512
"38","3","6",7.96331168742683,0.149712289246618,445,7.6795647181519,8.26883105437474
"39","4","6",7.80275289767511,0.154931174847006,445,7.50970102696647,8.11960512144688
"40","5","6",7.84840482295151,0.168872667870856,445,7.52998297888962,8.19494609050024
"41","6","6",7.4174039116505,0.169203930567238,445,7.09913456198966,7.76555009140947
"42","7","6",7.13550176797591,0.164301636515678,445,6.82657800357306,7.47371026848496
"43","1","7",8.32026792663779,0.201511966357795,445,7.94222874814126,8.73609400065366
"44","2","7",8.0401371190823,0.186488583398788,445,7.68960816655156,8.42414998505211
"45","3","7",7.5981384095707,0.174709925182305,445,7.26962487390068,7.95774815962473
"46","4","7",7.45183219134834,0.173090684136255,445,7.12650661289516,7.80828081489028
"47","5","7",7.49345920561725,0.185631827122616,445,7.14557236290449,7.87695383129471
"48","6","7",7.09958273696877,0.179126343869597,445,6.76417552565722,7.46998825336741
"49","7","7",6.84089968392111,0.175288289056522,445,6.51292045232025,7.20366352301384
"50","1","8",7.79608981219158,0.395890600425649,445,7.08864513594993,8.66039461940786
"51","2","8",7.54962093520059,0.371590649246062,445,6.88374223906878,8.35811917738722
"52","3","8",7.15859694552822,0.337647909760208,445,6.55130840085018,7.88997638674464
"53","4","8",7.02858350901118,0.330718052933699,445,6.4336374812329,7.74477614788063
"54","5","8",7.06560440928573,0.337910539387291,445,6.45856186015832,7.79859737807813
"55","6","8",6.71436815871592,0.310164542976521,445,6.15553319935566,7.38480338609543
"56","7","8",6.48253685554615,0.29355266498563,445,5.95276300765131,7.1158183158095
