"banner.arg","banner.vd","value","se","x","z1","z2","z_LDH"
"1",0,5,-0.398384506180613,0.329412573058031,0,-0.514416229956012,-0.911196310697427,-1.209378568894
"2",0.25,5,0.751965075049502,0.672543683606619,1.25,0.0637761078063784,-0.0928973469143013,1.11809105249041
"3",0.5,5,-0.462762936950055,1.43203937867424,2.5,-0.546774320049159,-0.956991783698152,-0.323149589209252
"4",0.75,5,2.82534341889213,1.28792678302181,3.75,1.1059040759066,1.38199635320989,2.19371431368416
"5",1,5,1.69663120359648,4.91481753119439,5,0.53858717931166,0.579089088099991,0.345207363819296
"6",0,5.44,-0.398384506180613,0.329412573058031,0,-0.514416229956012,-0.869931588454483,-1.209378568894
"7",0.25,5.44,0.594197512635762,0.518983147921949,1.36,-0.0155215224301005,-0.155068636754258,1.14492641045278
"8",0.5,5.44,-0.51219033851085,1.05232144674412,2.72,-0.571617676646373,-0.951895165950385,-0.486724222998177
"9",0.75,5.44,2.77023919632882,1.1545358849539,4.08,1.0782074176174,1.41212838227146,2.39943966439764
"10",1,5.44,1.59368408089042,4.07011614498404,5.44,0.486843571529688,0.564767008887671,0.391557396428222
"11",0,5.88,-0.398384506180613,0.329412573058031,0,-0.514416229956012,-0.846587639314534,-1.209378568894
"12",0.25,5.88,0.459422602282207,0.425674171001061,1.47,-0.083262513308464,-0.187171515243207,1.07928230928783
"13",0.5,5.88,-0.557300982427973,0.844492280286448,2.94,-0.594291330890258,-0.968750402696028,-0.65992430651816
"14",0.75,5.88,2.51319587171071,1.07135430819183,4.41,0.949011490403484,1.39161140190318,2.3458120740209
"15",1,5.88,1.49759836337398,3.46863338091846,5.88,0.438548664883137,0.610898155350586,0.431754584273023
"16",0,6.32,-0.398384506180613,0.329412573058031,0,-0.514416229956012,-0.849064379943936,-1.209378568894
"17",0.25,6.32,0.373930471637781,0.388686177410579,1.58,-0.126232837881217,-0.125258577669397,0.962036968046817
"18",0.5,6.32,-0.623833422983808,0.791478327165589,3.16,-0.627732076181684,-1.06035282932713,-0.788187625070993
"19",0.75,6.32,1.79143561931366,0.921878340167367,4.74,0.586238074003251,1.20321293992311,1.94324515639278
"20",1,6.32,1.39477098377983,3.01046429203726,6.32,0.386865242762059,0.831462847017352,0.463307599252724
"21",0,6.76,-0.398384506180613,0.329412573058031,0,-0.514416229956012,-0.822057529598285,-1.209378568894
"22",0.25,6.76,0.324041192830401,0.374671397675264,1.69,-0.151308344678093,0.0309263704523977,0.864867707652598
"23",0.5,6.76,-0.686816491604499,0.79040299033273,3.38,-0.659388824946963,-1.16261551384917,-0.868944702898169
"24",0.75,6.76,0.974851798045553,0.773469805093849,5.07,0.175804136092769,0.799352755325928,1.26036180291132
"25",1,6.76,1.27555015808286,2.6607882790408,6.76,0.326942095012503,1.15439391766913,0.479388070118338
"26",0,7.2,-0.398384506180613,0.329412573058031,0,-0.514416229956012,-0.75022881030199,-1.209378568894
"27",0.25,7.2,0.300334199993048,0.361968970530622,1.8,-0.163224028252548,0.225363160805568,0.82972360739314
"28",0.5,7.2,-0.728807062550421,0.781607271260919,3.6,-0.680494258265101,-1.21158413143332,-0.932446625496051
"29",0.75,7.2,0.436160923393065,0.666986220836148,5.4,-0.0949543717805718,0.415012385364856,0.653927936991389
"30",1,7.2,1.08534227084861,2.31972625914038,7.2,0.231339206312168,1.32143739556489,0.467875149738919
"31",0,7.64,-0.398384506180613,0.329412573058031,0,-0.514416229956012,-0.698940580937966,-1.209378568894
"32",0.25,7.64,0.293425867623053,0.345037485367855,1.91,-0.166696316075503,0.394648661220429,0.850417360624521
"33",0.5,7.64,-0.740864113945018,0.745722037697713,3.82,-0.686554411496877,-1.24032016831038,-0.993485610579924
"34",0.75,7.64,0.178858920668011,0.578087877245463,5.73,-0.224280316601153,0.213545304807733,0.309397459639281
"35",1,7.64,0.885808954474361,1.97932389282222,7.64,0.131049140980428,1.33106678322018,0.447531077499059
"36",0,8.08,-0.398384506180613,0.329412573058031,0,-0.514416229956012,-0.683051524516726,-1.209378568894
"37",0.25,8.08,0.289730131817897,0.328059439884093,2.02,-0.168553878472014,0.448163373433045,0.883163526464174
"38",0.5,8.08,-0.708020203104215,0.689677982662584,4.04,-0.670046301353527,-1.19207210619747,-1.0265953400032
"39",0.75,8.08,0.0445518651795536,0.511497075001541,6.06,-0.291786152790369,0.0451065387731842,0.0871009187675595
"40",1,8.08,0.857691175266305,1.75079995656578,8.08,0.116916494037045,1.38185371850797,0.489885307598863
"41",0,8.52,-0.398384506180613,0.329412573058031,0,-0.514416229956012,-0.69762795714687,-1.209378568894
"42",0.25,8.52,0.284093156857341,0.312223315730325,2.13,-0.171387152620614,0.336900777842389,0.909903721292614
"43",0.5,8.52,-0.624095257211904,0.616150762656658,4.26,-0.627863680127927,-1.03976993538901,-1.01289375106994
"44",0.75,8.52,-0.0157895863729518,0.462596963391227,6.39,-0.322115163646192,-0.117674268054595,-0.0341324903155455
