banner.arg,banner.vd,value,se,x,z1,z2,z_LDH
0,1,-0.344760909,0.285214665,0,-0.418724061,-0.608170764,-1.20877694
0.25,1,0.126556526,0.240539651,0.25,-0.211276341,-0.09217259,0.526135816
0.5,1,-0.276095287,0.42346744,0.5,-0.388501273,-0.532995663,-0.65198705
0.75,1,-0.262807736,0.396671035,0.75,-0.382652832,-0.518448457,-0.662533215
1,1,1.810846455,1.469357999,1,0.530054405,1.751787474,1.232406572
0,2,-0.344760909,0.285214665,0,-0.418724061,-0.465562723,-1.20877694
0.25,2,-0.155198963,0.189497055,0.5,-0.335289435,-0.379852579,-0.819004618
0.5,2,0.91755836,0.299316335,1,0.136878671,0.105193005,3.065513816
0.75,2,-1.360585629,0.259983412,1.5,-0.865833601,-0.924866317,-5.233355545
1,2,4.367521614,0.837232656,2,1.655360606,1.665088615,5.21661641
0,3,-0.344760909,0.285214665,0,-0.418724061,-0.388997535,-1.20877694
0.25,3,-0.031566358,0.136973456,0.75,-0.280873239,-0.274998224,-0.23045602
0.5,3,0.544817795,0.323311523,1.5,-0.027180994,-0.065200846,1.68511716
0.75,3,-1.910291666,0.454426714,2.25,-1.107783624,-0.958833203,-4.203739808
1,3,5.361533675,1.309449455,3,2.092869427,1.688029808,4.094494564
0,4,-0.344760909,0.285214665,0,-0.418724061,-0.432516619,-1.20877694
0.25,4,0.036618507,0.13313237,1,-0.250862054,-0.304655518,0.275053369
0.5,4,0.477908713,0.36915436,2,-0.056630651,-0.156708751,1.294604005
0.75,4,-1.550681039,0.573009647,3,-0.949503028,-0.836812889,-2.706204072
1,4,6.107583949,1.66457768,4,2.421239262,1.730693776,3.669149251
0,5,-0.344760909,0.285214665,0,-0.418724061,-0.454414644,-1.20877694
0.25,5,0.064208889,0.140372044,1.25,-0.238718303,-0.322512675,0.457419349
0.5,5,0.463097179,0.410723925,2.5,-0.063149864,-0.193862219,1.127514497
0.75,5,-1.340909129,0.641205273,3.75,-0.857173101,-0.775694875,-2.091232224
1,5,6.479255828,1.860426606,5,2.584828551,1.746484413,3.482672096
