"Branch","flw_date","emmean","SE","df","lower.CL","upper.CL"
"1","1",8.15337607589141,0.108674913433132,693,7.94000450503987,8.36674764674295
"2","1",8.28383536683669,0.135754036097905,693,8.01729683446906,8.55037389920433
"3","1",8.26728486194054,0.164071757022304,693,7.94514751282949,8.58942221105159
"4","1",7.87153701127559,0.193574288765531,693,7.49147459608181,8.25159942646938
"5","1",8.03369717453798,0.227059214195195,693,7.58789068913456,8.4795036599414
"6","1",8.19566336995808,0.264604288124143,693,7.67614114695818,8.71518559295799
"7","1",8.23793991987852,0.273587974581919,693,7.70077918923248,8.77510065052456
"8","1",8.13413650665721,0.406198767371538,693,7.33660866574152,8.93166434757291
"9","1",8.13857412091286,0.550781823883328,693,7.05717291022062,9.21997533160511
"10","1",8.45039509805224,0.594247812250249,693,7.28365306744601,9.61713712865847
"1","2",6.62113630728111,0.099479561701073,693,6.42581882620632,6.81645378835591
"2","2",6.75159559822639,0.106574770667049,693,6.54234743310719,6.9608437633456
"3","2",6.73504509333024,0.138662353399603,693,6.46279639095561,7.00729379570487
"4","2",6.3392972426653,0.172089090171508,693,6.00141871728786,6.67717576804274
"5","2",6.50145740592768,0.208397841236422,693,6.09229053068516,6.9106242811702
"6","2",6.66342360134779,0.248410783135137,693,6.17569559366348,7.1511516090321
"7","2",6.70570015126822,0.259124069554085,693,6.1969377513771,7.21446255115934
"8","2",6.60189673804692,0.395934157508991,693,5.82452236090092,7.37927111519291
"9","2",6.60633435230256,0.543796989292739,693,5.53864711737207,7.67402158723306
"10","2",6.91815532944194,0.588413891151523,693,5.76286757903466,8.07344307984923
"1","3",5.19663768750304,0.109500330339842,693,4.9816454988251,5.41162987618098
"2","3",5.32709697844832,0.106724831678549,693,5.11755418458053,5.53663977231611
"3","3",5.31054647355217,0.130381061591587,693,5.05455720204282,5.56653574506151
"4","3",4.91479862288722,0.167885792659771,693,4.58517282267425,5.2444244231002
"5","3",5.07695878614961,0.203235269117589,693,4.67792806917794,5.47598950312127
"6","3",5.23892498156971,0.243325042634984,693,4.76118228148934,5.71666768165008
"7","3",5.28120153149015,0.254281543039625,693,4.78194691455131,5.78045614842898
"8","3",5.17739811826884,0.391743653863003,693,4.40825134690009,5.94654488963759
"9","3",5.18183573252449,0.539719002964509,693,4.1221551876504,6.24151627739858
"10","3",5.49365670966387,0.584807899319669,693,4.34544893859436,6.64186448073338
"1","4",5.08540123524353,0.129230829196611,693,4.83167032203609,5.33913214845098
"2","4",5.21586052618882,0.1198923158759,693,4.98046478522777,5.45125626714987
"3","4",5.19931002129266,0.130072384616353,693,4.94392680401433,5.45469323857099
"4","4",4.80356217062772,0.165673844324373,693,4.47827929442597,5.12884504682947
"5","4",4.9657223338901,0.202260360247296,693,4.56860574622869,5.36283892155151
"6","4",5.12768852931021,0.242830612894685,693,4.65091658915069,5.60446046946972
"7","4",5.16996507923064,0.256017264928464,693,4.66730255798084,5.67262760048045
"8","4",5.06616166600934,0.39205185030307,693,4.29640978388898,5.83591354812969
"9","4",5.07059928026498,0.539796209552521,693,4.01076714851179,6.13043141201818
"10","4",5.38242025740437,0.58602570633998,693,4.23182145248252,6.53301906232621
"1","5",4.68345797001417,0.14462071823781,693,4.39951065546612,4.96740528456223
"2","5",4.81391726095946,0.135367213525277,693,4.54813821334644,5.07969630857247
"3","5",4.7973667560633,0.138088042877515,693,4.52624565098214,5.06848786114447
"4","5",4.40161890539836,0.158748593924198,693,4.0899330177724,4.71330479302432
"5","5",4.56377906866074,0.188578895279507,693,4.19352457437034,4.93403356295114
"6","5",4.72574526408085,0.233992323581344,693,4.26632635982311,5.18516416833858
"7","5",4.76802181400128,0.248746321200301,693,4.2796350132084,5.25640861479416
"8","5",4.66421840077998,0.38465157401516,693,3.9089961697668,5.41944063179315
"9","5",4.66865601503562,0.533396154471469,693,3.62138970701341,5.71592232305784
"10","5",4.98047699217501,0.581226529763008,693,3.83930085723902,6.12165312711099
"1","6",4.31330080221246,0.159106768162269,693,4.00091167777313,4.62568992665179
"2","6",4.44376009315774,0.146937069444626,693,4.15526487072526,4.73225531559022
"3","6",4.42720958826159,0.145803891456403,693,4.14093923962715,4.71347993689603
"4","6",4.03146173759664,0.151116585767619,693,3.73476048182064,4.32816299337265
"5","6",4.19362190085903,0.17071705767984,693,3.85843721455409,4.52880658716397
"6","6",4.35558809627913,0.219470417310963,693,3.92468140201342,4.78649479054485
"7","6",4.39786464619957,0.239519557899646,693,3.92759360843922,4.86813568395991
