"flw_date","emmean","SE","df","lower.CL","upper.CL"
"1",8.17664395059411,0.211108937470071,693,7.76215412782093,8.59113377336729
"2",6.64440418198382,0.193447341023861,693,6.26459101510503,7.0242173488626
"3",5.21990556220574,0.188049402268464,693,4.85069067081865,5.58912045359284
"4",5.10866910994624,0.19039501847855,693,4.73484885197038,5.48248936792209
"5",4.70672584471688,0.184152177917163,693,4.34516273657513,5.06828895285862
"6",4.33656867691516,0.174863375071698,693,3.9932431398177,4.67989421401263
"7",3.97255321262291,0.179593885960743,693,3.61993982327473,4.32516660197109
"8",3.5503361724876,0.169370015158732,693,3.21779626012039,3.88287608485482
"9",3.60470062852013,0.185067677434243,693,3.24134003497994,3.96806122206031
"10",3.29387635710015,0.208912729017738,693,2.88369855476102,3.70405415943929
"11",3.89437819882325,0.217135081594299,693,3.46805668649685,4.32069971114965
"12",3.86131671352556,0.223537221158919,693,3.42242528480761,4.30020814224352
"13",3.4645008146226,0.232049059404837,693,3.00889730176314,3.92010432748207
"14",3.22786768705392,0.323207442522629,693,2.59328443740269,3.86245093670515
"15",3.54347155584188,0.320665510229911,693,2.91387911841365,4.17306399327012
"16",3.28714886584582,0.339478820763028,693,2.62061850507764,3.95367922661401
"17",2.92551969566325,0.468077789803604,693,2.006499011533,3.84454037979351
