PlantID,Branch,PosSeq,Pos,FL,FD,B,Date,FlwFate,seeds,aborted,unfert,Notes,flw_vol
1,1,1,1,12.11,6.66,7.63,12-Jun,0,0,,,,140.6244579
1,1,2,2,9.07,2.11,5.13,13-Jun,0,0,,,,10.57159355
1,1,3,3,9.26,2,5.11,13-Jun,0,0,,,,9.697041133
1,1,4,4,7.15,2.65,6.32,13-Jun,0,0,,,,13.14516523
1,2,5,1,8.92,3.03,6.1,13-Jun,0,0,,,,21.43968357
1,2,6,2,8.77,3.02,5.11,13-Jun,0,0,,,,20.94024406
1,2,7,3,8.66,2.74,5.55,13-Jun,0,0,,,,17.02108645
1,2,8,4,9.07,2.53,5.92,14-Jun,1,8,0,0,,15.19905509
1,2,9,5,8.8,2.95,5.54,14-Jun,0,0,,,,20.04910378
1,3,10,1,10.93,3.03,6.84,15-Jun,0,0,,,,26.27082302
1,3,11,2,8.92,3.05,6.23,15-Jun,0,0,,,,21.72364979
1,3,12,3,8.19,3.12,5.39,16-Jun,0,0,,,,20.87186945
1,3,13,4,8.15,2.84,5.6,16-Jun,0,0,,,,17.20927397
1,4,14,1,9.37,2.78,4.58,17-Jun,0,0,,,,18.95821493
1,4,15,2,8.79,2.76,4.72,17-Jun,0,0,,,,17.52973291
1,4,16,4,8.11,2.51,4.09,17-Jun,1,0,,,,13.37631714
1,5,17,1,9,2.31,3.92,19-Jun,1,8,0,2,,12.5728788
1,5,18,2,8.88,2.85,3.75,20-Jun,0,0,,,,18.88299793
1,5,19,3,8.51,2.64,3.36,21-Jun,0,0,,,,15.52764787
1,5,20,4,8.34,2.62,3.56,22-Jun,0,0,,,,14.98776563
2,1,1,1,12.57,6.99,8.46,12-Jun,0,0,,,,160.7895756
2,1,2,2,10.47,6.67,7.97,12-Jun,0,0,,,,121.9457332
2,1,3,3,12.8,6.42,7.94,12-Jun,1,1,0,1,,138.1173654
2,1,4,4,10.65,7.42,7.66,12-Jun,0,0,,,,153.5061142
2,2,5,1,10.86,3.16,8.36,13-Jun,0,0,,,,28.3904483
2,2,6,2,11.75,6.43,8.12,12-Jun,0,0,,,,127.1827093
2,2,7,3,10.42,2.51,6.76,14-Jun,0,0,,,,17.18634089
2,2,8,4,8.83,2.59,5.04,14-Jun,0,0,,,,15.50702516
2,3,9,1,11.62,3.44,6.45,13-Jun,0,0,,,,35.99906931
2,3,10,2,11.44,3.21,5.78,13-Jun,1,7,0,1,,30.86059883
2,3,11,3,10.77,3.87,5.21,13-Jun,0,0,,,,42.22852315
2,3,12,4,11.31,3.33,6.39,14-Jun,0,0,,,,32.83366265
2,3,13,5,10.64,3.28,5.42,14-Jun,0,0,,,,29.96798725
2,4,14,1,11.84,2.86,6.67,13-Jun,0,0,,,,25.35432357
2,4,15,2,11.34,2.44,5.47,13-Jun,0,0,,,,17.67506286
2,4,16,3,10.62,1.87,4.32,13-Jun,1,0,0,0,,9.722456073
2,4,17,4,9.19,1.83,4.89,14-Jun,0,0,,,,8.057233517
2,4,18,5,8.95,1.84,4.12,14-Jun,1,4,3,1,,7.932807965
2,5,19,1,9.22,2.39,4.38,18-Jun,0,0,,,,13.78780024
2,5,20,2,8.82,2.43,4.73,18-Jun,0,0,,,,13.63481947
2,5,21,3,8.74,2.5,4.16,18-Jun,0,0,,,,14.30077948
2,5,22,4,8.52,2.45,4.05,19-Jun,1,5,1,1,,13.38874972
2,5,23,5,8.27,2.33,3.31,19-Jun,1,0,,,,11.75399797
3,1,1,1,13.38,4.66,6.69,12-Jun,0,0,,,,76.06698566
3,1,2,2,10.25,5.01,8.48,12-Jun,0,0,,,,67.35464895
3,1,3,3,10.56,7.81,9.11,12-Jun,0,0,,,,168.6297693
3,1,4,4,10.5,5.16,7.47,12-Jun,0,0,,,,73.19087887
3,2,5,1,11.16,6.14,8.31,12-Jun,0,0,,,,110.1461183
3,2,6,2,12.94,4.35,7.63,13-Jun,0,0,,,,64.10339782
3,2,7,3,11.11,3.72,7.78,13-Jun,0,0,,,,40.25021444
3,2,8,4,11.47,3.66,8.39,13-Jun,0,0,,,,40.22479584
3,2,9,5,11.92,3.2,8.61,13-Jun,0,0,,,,31.95541572
3,3,11,1,11.84,2.85,5.55,13-Jun,0,0,,,,25.17733058
3,3,12,2,10.79,3.09,6.76,14-Jun,0,0,,,,26.97159708
3,3,13,3,10.61,3.02,6.85,15-Jun,0,0,,,,25.3336362
3,3,14,4,10.47,3.12,6.98,15-Jun,0,0,,,,26.68235325
3,3,15,5,10.18,3.07,5.32,14-Jun,0,0,,,,25.11844723
3,4,18,1,9.97,3.25,4.48,14-Jun,0,0,,,,27.56957937
3,4,19,2,8.81,3.12,5.55,15-Jun,0,0,,,,22.45191329
3,4,20,3,9.83,3.14,5.81,15-Jun,0,0,,,,25.37354068
3,4,21,4,8.95,3.04,5.66,15-Jun,0,0,,,,21.65401645
3,4,22,5,8.46,2.87,4.93,16-Jun,0,0,,,,18.24325868
3,5,24,1,9.87,2.44,4.45,16-Jun,0,0,,,,15.38385101
3,5,25,2,9.84,2.53,5.09,16-Jun,0,0,,,,16.48938281
3,5,26,3,9.64,2.4,4.18,16-Jun,1,4,0,4,,14.53676525
3,5,27,4,9.3,2.39,4.95,17-Jun,0,0,,,,13.90743409
3,5,28,5,8.53,2.37,4.32,17-Jun,0,0,,,,12.54336278
4,1,1,1,11.9,5.25,6.35,12-Jun,0,0,,,,85.86849042
4,1,2,2,9.76,4.89,6.19,12-Jun,0,0,,,,61.09923825
4,1,3,3,11.47,3.07,6.09,13-Jun,0,0,,,,28.30143318
4,1,4,4,11.41,3.31,5.19,13-Jun,0,0,,,,32.72727847
4,1,5,5,10.26,2.98,5.81,13-Jun,0,0,,,,23.85328234
4,2,7,1,11.58,3.09,7.6,13-Jun,0,0,,,,28.94634794
4,2,8,2,11.62,2.97,5.47,13-Jun,0,0,,,,26.83411561
4,2,9,3,10.18,3.04,5.03,14-Jun,0,0,,,,24.62993156
4,2,10,4,10.56,2.72,4.98,14-Jun,0,0,,,,20.45361072
4,2,11,5,10.26,2.7,4.64,14-Jun,0,0,,,,19.58137339
4,3,13,1,9.65,3.05,4.95,14-Jun,0,0,,,,23.50148212
4,3,14,2,9.86,2.86,4.81,14-Jun,0,0,,,,21.11432689
4,3,15,3,9.53,3.14,5.81,15-Jun,0,0,,,,24.59917016
4,3,16,4,8.21,3.17,5.98,15-Jun,0,0,,,,21.59881583
