PlantID,Branch,PosSeq,Pos,FL,FD,B,Date,FlwFate,seeds,aborted,unfert,Notes
1,1,1,1,12.11,6.66,7.63,12-Jun,0,0,,,
1,1,2,2,9.07,2.11,5.13,13-Jun,0,0,,,
1,1,3,3,9.26,2,5.11,13-Jun,0,0,,,
1,1,4,4,7.15,2.65,6.32,13-Jun,0,0,,,
1,2,5,1,8.92,3.03,6.1,13-Jun,0,0,,,
1,2,6,2,8.77,3.02,5.11,13-Jun,0,0,,,
1,2,7,3,8.66,2.74,5.55,13-Jun,0,0,,,
1,2,8,4,9.07,2.53,5.92,14-Jun,1,8,0,0,
1,2,9,5,8.8,2.95,5.54,14-Jun,0,0,,,
1,3,10,1,10.93,3.03,6.84,15-Jun,0,0,,,
1,3,11,2,8.92,3.05,6.23,15-Jun,0,0,,,
1,3,12,3,8.19,3.12,5.39,16-Jun,0,0,,,
1,3,13,4,8.15,2.84,5.6,16-Jun,0,0,,,
1,4,14,1,9.37,2.78,4.58,17-Jun,0,0,,,
1,4,15,2,8.79,2.76,4.72,17-Jun,0,0,,,
1,4,16,4,8.11,2.51,4.09,17-Jun,1,0,,,
1,5,17,1,9,2.31,3.92,19-Jun,1,8,0,2,
1,5,18,2,8.88,2.85,3.75,20-Jun,0,0,,,
1,5,19,3,8.51,2.64,3.36,21-Jun,0,0,,,
1,5,20,4,8.34,2.62,3.56,22-Jun,0,0,,,
1,6,21,1,9.69,2.81,4.47,23-Jun,0,0,,,
1,6,22,2,9.16,2.59,3.91,24-Jun,0,0,,,
1,7,23,1,9.13,2.12,3.76,24-Jun,0,0,,,
1,7,24,2,8.55,2.68,3.93,25-Jun,0,0,,,
1,7,25,3,8.36,2.21,3.95,25-Jun,0,0,,,
1,7,26,4,7.73,2.4,3.5,25-Jun,0,0,,,
2,1,1,1,12.57,6.99,8.46,12-Jun,0,0,,,
2,1,2,2,10.47,6.67,7.97,12-Jun,0,0,,,
2,1,3,3,12.8,6.42,7.94,12-Jun,1,1,0,1,
2,1,4,4,10.65,7.42,7.66,12-Jun,0,0,,,
2,2,5,1,10.86,3.16,8.36,13-Jun,0,0,,,
2,2,6,2,11.75,6.43,8.12,12-Jun,0,0,,,
2,2,7,3,10.42,2.51,6.76,14-Jun,0,0,,,
2,2,8,4,8.83,2.59,5.04,14-Jun,0,0,,,
2,3,9,1,11.62,3.44,6.45,13-Jun,0,0,,,
2,3,10,2,11.44,3.21,5.78,13-Jun,1,7,0,1,
2,3,11,3,10.77,3.87,5.21,13-Jun,0,0,,,
2,3,12,4,11.31,3.33,6.39,14-Jun,0,0,,,
2,3,13,5,10.64,3.28,5.42,14-Jun,0,0,,,
2,4,14,1,11.84,2.86,6.67,13-Jun,0,0,,,
2,4,15,2,11.34,2.44,5.47,13-Jun,0,0,,,
2,4,16,3,10.62,1.87,4.32,13-Jun,1,0,0,0,
2,4,17,4,9.19,1.83,4.89,14-Jun,0,0,,,
2,4,18,5,8.95,1.84,4.12,14-Jun,1,4,3,1,
2,5,19,1,9.22,2.39,4.38,18-Jun,0,0,,,
2,5,20,2,8.82,2.43,4.73,18-Jun,0,0,,,
2,5,21,3,8.74,2.5,4.16,18-Jun,0,0,,,
2,5,22,4,8.52,2.45,4.05,19-Jun,1,5,1,1,
2,5,23,5,8.27,2.33,3.31,19-Jun,1,0,,,
2,6,24,1,8.15,2.99,4.08,27-Jun,0,0,,,
2,6,25,2,8.45,2.45,3.81,27-Jun,0,0,,,
2,6,26,3,7.81,2.54,3.81,28-Jun,0,0,,,
2,6,27,4,7.7,2.39,3.75,28-Jun,0,0,,,
2,6,28,5,7.02,2.54,3.12,28-Jun,1,4,1,3,
3,1,1,1,13.38,4.66,6.69,12-Jun,0,0,,,
3,1,2,2,10.25,5.01,8.48,12-Jun,0,0,,,
3,1,3,3,10.56,7.81,9.11,12-Jun,0,0,,,
3,1,4,4,10.5,5.16,7.47,12-Jun,0,0,,,
3,2,5,1,11.16,6.14,8.31,12-Jun,0,0,,,
3,2,6,2,12.94,4.35,7.63,13-Jun,0,0,,,
3,2,7,3,11.11,3.72,7.78,13-Jun,0,0,,,
3,2,8,4,11.47,3.66,8.39,13-Jun,0,0,,,
